file,channel,date,video_id,theme,mentions,mentions_per_1k,first_timestamp,substantial
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,oil_energy,30,22.45508982035928,0:00,True
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,inflation,6,4.491017964071856,3:29,True
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,recession_labor,2,1.4970059880239521,5:30,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,debt_credit,0,0.0,,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,dollar_fx,6,4.491017964071856,0:46,True
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,gold_silver,0,0.0,,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,ai_tech,1,0.7485029940119761,5:16,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,valuation_bubble,0,0.0,,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,liquidity_rates,1,0.7485029940119761,3:46,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,china_deglobalization,0,0.0,,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,rotation_manufacturing,0,0.0,,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,crypto,1,0.7485029940119761,6:56,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,digital_control,0,0.0,,False
bravos_2026-03-20_Qwvqz6K1Dyc.txt,bravos,2026-03-20,Qwvqz6K1Dyc,housing,4,2.9940119760479043,3:54,True
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,oil_energy,15,7.292173067574137,0:29,True
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,inflation,30,14.584346135148275,0:48,True
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,recession_labor,0,0.0,,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,debt_credit,0,0.0,,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,dollar_fx,1,0.4861448711716091,7:44,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,gold_silver,2,0.9722897423432182,7:44,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,ai_tech,4,1.9445794846864364,8:30,True
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,valuation_bubble,9,4.375303840544483,5:00,True
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,liquidity_rates,0,0.0,,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,china_deglobalization,0,0.0,,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,rotation_manufacturing,14,6.806028196402528,7:01,True
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,crypto,0,0.0,,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,digital_control,0,0.0,,False
bravos_2026-03-26_d2xewVN_eDE.txt,bravos,2026-03-26,d2xewVN_eDE,housing,0,0.0,,False
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,oil_energy,11,5.35279805352798,0:46,True
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,inflation,8,3.8929440389294405,1:15,True
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,recession_labor,0,0.0,,False
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,debt_credit,3,1.4598540145985401,4:10,True
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,dollar_fx,0,0.0,,False
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,gold_silver,0,0.0,,False
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,ai_tech,1,0.48661800486618007,9:26,False
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,valuation_bubble,2,0.9732360097323601,8:23,False
bravos_2026-04-02_XDDBhShILQA.txt,bravos,2026-04-02,XDDBhShILQA,liquidity_rates,16,7.785888077858881,2:17,True
