channel,pitch_bin,minutes,words,certainty,hedge,urgency,certainty_per_1k,hedge_per_1k,urgency_per_1k
bravos,False,355,64546,132,304,100,2.045053140395997,4.709819353639265,1.5492826821181793
bravos,True,47,6487,19,25,3,2.9289347926622478,3.853861569292431,0.4624633883150917
jikh,False,636,104494,312,466,168,2.985817367504354,4.459586196336631,1.6077478132715755
jikh,True,63,11501,26,23,6,2.2606729849578295,1.99982610207808,0.5216937657594991
