file,channel,date,source,mentions,first_timestamp
jikh_2026-07-28_YBhwK-VWsxY.txt,jikh,2026-07-28,Fed,1,26:38
jikh_2026-07-28_YBhwK-VWsxY.txt,jikh,2026-07-28,JP_Morgan,1,14:03
jikh_2026-07-28_YBhwK-VWsxY.txt,jikh,2026-07-28,Bloomberg,1,20:45
jikh_2026-08-05_dlaVKt9-Tfg.txt,jikh,2026-08-05,Luke_Gromen,4,19:49
jikh_2026-08-05_dlaVKt9-Tfg.txt,jikh,2026-08-05,Fed,3,6:23
jikh_2026-08-05_dlaVKt9-Tfg.txt,jikh,2026-08-05,Reuters,1,0:54
jikh_2026-08-19__YXDHskRP6Y.txt,jikh,2026-08-19,BIS,2,20:46
jikh_2026-08-19__YXDHskRP6Y.txt,jikh,2026-08-19,Fed,1,12:18
jikh_2026-08-19__YXDHskRP6Y.txt,jikh,2026-08-19,Goldman_Sachs,1,18:43
jikh_2026-08-25_gVksaXViB4E.txt,jikh,2026-08-25,Fed,8,13:04
jikh_2026-09-02_NZpobX6MQVA.txt,jikh,2026-09-02,Fed,7,5:36
jikh_2026-09-02_NZpobX6MQVA.txt,jikh,2026-09-02,JP_Morgan,4,5:45
jikh_2026-09-02_NZpobX6MQVA.txt,jikh,2026-09-02,Bank_of_America,3,5:57
jikh_2026-09-10_iBxWsP8k9XM.txt,jikh,2026-09-10,Luke_Gromen,3,2:36
jikh_2026-09-10_iBxWsP8k9XM.txt,jikh,2026-09-10,Fed,20,2:10
