file,channel,date,start_sec,words,pitch_mentions,certainty,hedge,urgency,correction,oil_energy,inflation,recession_labor,debt_credit,dollar_fx,gold_silver,ai_tech,valuation_bubble,liquidity_rates,china_deglobalization,rotation_manufacturing,crypto,digital_control,housing
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,240,180,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,300,188,0,1,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,360,182,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,420,173,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,480,184,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
bravos_2026-04-08_Nyb4yfSUlT4.txt,bravos,2026-04-08,540,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,0,193,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,60,191,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,120,215,0,0,0,0,0,2,1,0,0,2,6,0,0,0,0,1,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,180,197,0,2,0,0,0,1,0,0,0,3,4,0,0,0,0,6,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,240,184,0,0,0,1,0,3,0,0,0,2,2,0,0,0,0,2,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,300,191,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,360,189,0,1,2,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,420,179,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,480,181,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,540,210,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,600,194,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,660,188,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,720,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,780,194,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-20_qaxPhSP8jbg.txt,bravos,2026-04-20,840,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,0,218,0,0,1,0,0,3,1,0,0,2,0,0,0,3,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,60,204,0,0,1,0,0,0,6,0,1,4,0,0,0,1,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,120,171,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,180,197,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,240,203,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,300,195,0,0,3,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,360,191,0,0,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,420,190,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,480,168,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
bravos_2026-04-23_iq599kyAjVA.txt,bravos,2026-04-23,540,139,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,0,186,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
