decision_date,equity_gdp_pct,cpi_yoy_pct,ip_yoy_pct,baa_aaa_pp,curve_10y_3m_pp,real_bill_expost_pct
1954-07-31,40.549377830256,0.635039223010847,-7.565270250251565,0.5900000000000003,1.7399999999999998,0.004960776989152982
1954-08-31,40.549377830256,0.26129152668905586,-8.560097281860068,0.6099999999999999,1.5799999999999998,0.4587084733109441
1954-09-30,44.68806410425748,0.0,-8.196480120136563,0.6200000000000001,1.44,0.92
1954-10-31,44.68806410425748,-0.2975083674228385,-6.1366343813124775,0.5800000000000001,1.3699999999999999,1.3075083674228385
1954-11-30,44.68806410425748,-0.8534322820037077,-4.219268235355544,0.5899999999999999,1.4500000000000002,1.8334322820037077
1954-12-31,49.10152533529755,-0.26070763500931626,-0.2884250068226679,0.56,1.5499999999999998,1.1907076350093164
1955-01-31,49.10152533529755,-0.37216226274656705,3.545274521527819,0.5500000000000003,1.3599999999999999,1.522162262746567
1955-02-28,49.10152533529755,-0.6310319227913919,6.6962139340049465,0.52,1.39,1.8510319227913918
1955-03-31,48.742413705113904,-0.6298629121896937,7.714940603442555,0.54,1.48,1.7998629121896936
1955-04-30,48.742413705113904,-0.519866320089124,10.89549591495118,0.45999999999999996,1.4000000000000001,1.799866320089124
1955-05-31,48.742413705113904,-0.2606105733432673,12.913118876751595,0.4800000000000004,1.16,1.8506105733432674
1955-06-30,48.93130269952285,-0.5941329372447068,14.029953329564226,0.45999999999999996,1.3099999999999998,2.044132937244707
1955-07-31,48.93130269952285,-0.8537490720118779,13.839505285902941,0.45999999999999996,1.3699999999999999,2.263749072011878
1955-08-31,48.93130269952285,-0.37230081906179935,14.56169780710952,0.45999999999999996,1.2999999999999998,1.9723008190617994
1955-09-30,53.50317413624588,-0.484171322160154,14.58334484645183,0.4500000000000002,1.0700000000000003,2.384171322160154
1955-10-31,53.50317413624588,0.14919806042521522,15.155996512564695,0.45999999999999996,0.9000000000000004,1.9208019395747846
1955-11-30,53.50317413624588,0.37425149700598404,15.711894076138222,0.48999999999999977,0.6499999999999999,1.855748502994016
1955-12-31,56.016558931339944,0.37341299477220424,14.161899344202467,0.48,0.6499999999999999,1.866587005227796
1956-01-31,56.016558931339944,0.37355248412402897,13.12393384261663,0.4700000000000002,0.41999999999999993,2.166447515875971
1956-02-29,56.016558931339944,0.22413149047439962,11.297456880924027,0.4900000000000002,0.48999999999999977,2.1858685095256005
1956-03-31,55.87427818399788,0.1491424310216205,8.953215955476912,0.5,0.52,2.1708575689783793
1956-04-30,55.87427818399788,0.3732736095558131,6.460706449210529,0.5,0.71,1.8767263904441869
1956-05-31,55.87427818399788,0.5225830533781339,5.983851453122302,0.43999999999999995,0.5800000000000001,2.077416946621866
1956-06-30,59.65830274749515,0.9712364587224576,3.403556186383816,0.4500000000000002,0.45999999999999996,1.6387635412775423
1956-07-31,59.65830274749515,1.647323099962561,2.3529583098701012,0.5,0.5099999999999998,0.8426769000374392
1956-08-31,59.65830274749515,1.9805680119581393,-1.5562759198693765,0.52,0.7999999999999998,0.3294319880418608
1956-09-30,56.65881930898411,2.208083832335328,2.5971583181410463,0.5,0.73,0.3919161676646721
1956-10-31,56.65881930898411,1.862197392923659,4.258031127808026,0.5100000000000002,0.54,0.9778026070763408
1956-11-30,56.65881930898411,2.572706935123037,3.4261908015966958,0.5800000000000001,0.43999999999999995,0.32729306487696297
1956-12-31,54.706986619857226,2.34375,2.278507194667334,0.5500000000000003,0.5,0.6462500000000002
1957-01-31,54.706986619857226,2.828433196873825,3.4050624019481557,0.6200000000000001,0.3799999999999999,0.38156680312617475
1957-02-28,54.706986619857226,3.130823704808061,2.380841578168491,0.7200000000000002,0.3500000000000001,-0.020823704808061283
1957-03-31,58.28329312018554,3.4996276991809516,4.298182603510847,0.7999999999999998,0.23999999999999977,-0.39962769918095153
1957-04-30,58.28329312018554,3.607288955001864,4.171889744925994,0.7699999999999996,0.33000000000000007,-0.5272889550018638
1957-05-31,58.28329312018554,3.713330857779429,2.007809442156061,0.7700000000000005,0.41000000000000014,-0.643330857779429
1957-06-30,54.07287256348198,3.588605253422128,2.531401602045791,0.7799999999999994,0.54,-0.5286052534221279
1957-07-31,54.07287256348198,3.53591160220994,3.70370370370372,0.7199999999999998,0.5099999999999998,-0.24591160220994013
1957-08-31,54.07287256348198,3.2979113228288837,7.641647910754479,0.7400000000000002,0.77,-0.13791132282888352
1957-09-30,57.85202054975902,3.551812522885389,3.4179958350373907,0.7200000000000006,0.56,-0.18181252288538907
1957-10-31,57.85202054975902,3.546617915904937,0.24773180619006574,0.8099999999999996,0.3900000000000001,-0.01661791590493733
1957-11-30,57.85202054975902,2.944383860414379,-2.085583184102735,0.8900000000000006,0.3900000000000001,0.635616139585621
1957-12-31,51.17770964983628,3.271537622682663,-3.589123700442143,1.0099999999999998,0.41000000000000014,0.03846237731733693
1958-01-31,51.17770964983628,3.0401737242128135,-6.829524560021005,1.2200000000000002,0.16999999999999993,-0.00017372421281347528
1958-02-28,51.17770964983628,3.5056017347307566,-8.20098364530587,1.23,0.6499999999999999,-1.0656017347307567
1958-03-31,51.7510276626571,3.237410071942448,-11.030285570240183,1.0700000000000003,1.5199999999999998,-1.707410071942448
1958-04-30,51.7510276626571,3.6252692031586653,-12.014440042725226,1.0499999999999998,1.68,-2.3252692031586655
1958-05-31,51.7510276626571,3.6161833154314316,-12.300327515405096,1.0699999999999998,1.75,-2.4861833154314317
1958-06-30,55.892330068015575,3.3571428571428585,-11.111212995098875,1.0500000000000003,2.01,-2.4471428571428584
1958-07-31,55.892330068015575,2.8459622909996485,-8.990542048552042,0.98,2.14,-2.0159622909996484
1958-08-31,55.892330068015575,2.483150053210359,-8.20098364530587,0.8600000000000003,2.29,-1.5731500532103588
1958-09-30,59.020759442177386,2.333804809052342,-6.365057864162404,0.8199999999999998,1.85,-0.6438048090523423
1958-10-31,59.020759442177386,2.083333333333326,-4.691146332405671,0.7800000000000002,1.3199999999999998,0.356666666666674
1958-11-30,59.020759442177386,2.083333333333326,-2.1304716076730457,0.8099999999999996,1.17,0.546666666666674
1958-12-31,63.918236624739365,1.9007391763463444,3.209305651562455,0.7800000000000002,1.0700000000000003,0.7692608236536556
1959-01-31,63.918236624739365,1.7562346329469625,5.366847165647504,0.7699999999999996,1.0899999999999999,1.0137653670530375
1959-02-28,63.918236624739365,1.2918994413407825,8.93362910733031,0.75,1.1999999999999997,1.5281005586592173
1959-03-31,64.99184274003863,1.0452961672473782,13.487614344693588,0.75,1.2599999999999998,1.654703832752622
1959-04-30,64.99184274003863,0.3463803255975062,16.551671148674597,0.7199999999999998,1.1900000000000004,2.4536196744024936
1959-05-31,64.99184274003863,0.13821700069107656,21.03774616782903,0.6299999999999999,1.17,2.8117829993089236
1959-06-30,65.05829561264281,0.3455425017277136,21.6667182454946,0.5899999999999999,1.4699999999999998,2.4944574982722862
1959-07-31,65.05829561264281,0.6918021445866396,18.674432394946592,0.5800000000000001,1.13,2.5181978554133604
1959-08-31,65.05829561264281,0.8999653859466772,14.13377171265029,0.6100000000000003,1.2000000000000002,2.300034614053323
1959-09-30,66.28700112694274,0.8293020041465038,8.105051093473147,0.6600000000000001,1.0499999999999998,2.550697995853496
1959-10-31,66.28700112694274,1.1760636457972984,6.994386211342074,0.6600000000000001,0.6399999999999997,2.8639363542027017
1959-11-30,66.28700112694274,1.5219647180906293,4.9937233718807095,0.71,0.4800000000000004,2.5280352819093705
1959-12-31,64.73390294723771,1.3816925734024155,2.6120454325002207,0.7000000000000002,0.3799999999999999,2.768307426597585
1960-01-31,64.73390294723771,1.5188125647221273,8.819608150687142,0.7000000000000002,0.20000000000000018,2.971187435277873
1960-02-29,64.73390294723771,1.2409513960703222,10.03645487686251,0.7299999999999995,0.3700000000000001,3.1090486039296774
1960-03-31,68.51248581157775,1.4137931034482687,6.962809733132436,0.7800000000000002,0.5300000000000002,2.5462068965517313
1960-04-30,68.51248581157775,1.5188125647221273,4.496831298508397,0.7599999999999998,0.94,1.7911874352778727
1960-05-31,68.51248581157775,1.9323671497584405,1.5065581107132964,0.75,1.0500000000000003,1.2976328502415595
1960-06-30,62.52856363609559,1.8250688705234275,-0.11403862051423408,0.8200000000000003,1.0599999999999996,1.4649311294765726
1960-07-31,62.52856363609559,1.7176228100309165,-1.4825008998327394,0.8099999999999996,1.6900000000000004,0.7423771899690834
1960-08-31,62.52856363609559,1.3722126929674117,0.5839479392624636,0.8099999999999996,1.6,0.9277873070325882
1960-09-30,64.23966881052709,1.473612063056895,3.9902824990682095,0.7999999999999998,1.5,0.8263879369431049
1960-10-31,64.23966881052709,1.2307692307692353,3.026692623448324,0.7599999999999998,1.3199999999999998,1.2492307692307647
1960-11-30,64.23966881052709,1.3628620102214661,3.658415079300381,0.8100000000000005,1.5900000000000003,0.9371379897785337
1960-12-31,58.886115204433985,1.4650766609880739,1.5759479995678616,0.7700000000000005,1.56,0.9049233390119262
1961-01-31,58.886115204433985,1.3600816048962905,-6.1644445386523135,0.75,1.5899999999999999,0.8899183951037095
1961-02-28,58.886115204433985,1.6002723867892366,-8.453886763770345,0.7799999999999994,1.5999999999999996,0.6397276132107637
1961-03-31,67.59867233620326,1.4620877252635056,-7.744118971007485,0.8000000000000007,1.3599999999999999,0.9579122747364943
1961-04-30,67.59867233620326,1.4620877252635056,-6.3418429574799156,0.7999999999999998,1.35,0.9279122747364945
1961-05-31,67.59867233620326,0.9140148950575577,-3.653051274985686,0.7599999999999998,1.4899999999999998,1.3759851049424423
1961-06-30,75.29164174394239,0.9130875887723988,-2.0571608040200973,0.7400000000000002,1.42,1.3769124112276012
1961-07-31,75.29164174394239,0.7767646065518496,0.578541525183307,0.7000000000000002,1.5499999999999998,1.5532353934481504
1961-08-31,75.29164174394239,1.25211505922167,2.090611871673431,0.6799999999999997,1.6799999999999997,0.9878849407783301
1961-09-30,74.08130754484336,1.1144883485309176,3.139344580852166,0.6600000000000001,1.65,1.2755116514690825
1961-10-31,74.08130754484336,1.249577845322536,4.11297255545422,0.6699999999999999,1.7000000000000002,1.030422154677464
1961-11-30,74.08130754484336,0.7731092436974896,6.235472990685231,0.71,1.62,1.5268907563025103
1961-12-31,74.62530651934948,0.671591672263272,9.427306528164925,0.7200000000000006,1.46,1.808408327736728
1962-01-31,74.62530651934948,0.6709158000671067,12.530721411016344,0.6799999999999997,1.4599999999999995,1.9290841999328934
1962-02-28,74.62530651934948,0.6702412868632601,11.421712625161874,0.6600000000000001,1.3599999999999999,2.04975871313674
1962-03-31,75.381494009769,0.9048257372654245,13.381885210351307,0.6500000000000004,1.31,1.8251742627345755
1962-04-30,75.381494009769,1.1058981233244003,13.300941663560707,0.6500000000000004,1.21,1.6141018766756
1962-05-31,75.381494009769,1.3418316001341912,11.256314131333923,0.6899999999999995,1.1099999999999999,1.3881683998658088
1962-06-30,72.04067924439363,1.3404825737265424,9.45144278477612,0.7199999999999998,1.1800000000000002,1.3495174262734575
1962-07-31,72.04067924439363,1.2399463806970434,7.710256410256422,0.7399999999999993,1.1800000000000002,1.4900536193029565
1962-08-31,72.04067924439363,1.0026737967914423,7.508460326245392,0.71,1.0899999999999999,1.9173262032085576
1962-09-30,54.39715107117992,1.135604542418167,6.651538432553061,0.71,1.1600000000000001,1.6843954575818327
1962-10-31,54.39715107117992,1.4676450967311627,7.449136131579603,0.71,1.2000000000000002,1.312354903268837
1962-11-30,54.39715107117992,1.3342228152101399,5.536774745430906,0.71,1.19,1.4057771847898604
1962-12-31,56.70733809831091,1.3342228152101399,4.361630609980316,0.71,1.0899999999999999,1.4957771847898602
1963-01-31,56.70733809831091,1.2329223592135952,3.4591295969166547,0.6799999999999997,0.9899999999999998,1.637077640786405
1963-02-28,56.70733809831091,1.331557922769644,5.125442948263648,0.7000000000000002,0.9199999999999999,1.5784420772303562
1963-03-31,69.30064676291893,1.2288276320159497,4.614207615434895,0.6999999999999993,1.0,1.6911723679840502
1963-04-30,69.30064676291893,1.1269472986410234,4.695792097847495,0.6899999999999995,1.04,1.7630527013589767
1963-05-31,69.30064676291893,0.893743793445867,5.430887878188662,0.6600000000000001,1.0700000000000003,2.006256206554133
