specification,nearest_rank,date,distance,equity_gdp_pct,cpi_yoy_pct,ip_yoy_pct,baa_aaa_pp,curve_10y_3m_pp,real_bill_expost_pct
expanding_primary,1,2000-03-31,14.41829343883508,155.40675113727858,3.2179720704310855,4.313335681097841,0.6099999999999994,0.9699999999999998,2.3320279295689144
expanding_primary,2,2017-10-31,15.806330129270455,142.4622078814864,2.1805652303711787,1.0630336308315114,0.6699999999999999,1.1700000000000002,-1.1505652303711786
expanding_primary,3,2005-03-31,16.64098150959348,107.89766184244958,3.0530262453133394,3.8921878697906642,0.6200000000000001,1.63,-0.5130262453133394
expanding_primary,4,1964-07-31,21.493934407881703,73.90426113206195,1.3067624959163693,5.969950706151028,0.4399999999999995,0.69,2.1732375040836307
expanding_primary,5,1993-11-30,24.361044314032895,66.31329785741949,2.752293577981657,2.892835100274227,0.6399999999999997,2.31,0.26770642201834294
expanding_primary,6,2011-07-31,29.010209256940254,107.86850204619134,3.5023181506360412,2.3688810428642126,0.7599999999999998,2.96,-3.462318150636041
expanding_primary,7,1973-04-30,31.29471335828757,77.72931679037765,4.8309178743961345,9.499268853655618,0.7399999999999993,0.6200000000000001,1.2590821256038653
expanding_primary,8,1988-11-30,37.76085065045335,48.47933617416141,4.260869565217407,3.118549371874013,0.9000000000000004,1.450000000000001,3.089130434782593
fixed_economic_scale,1,2018-03-31,0.552531367806314,149.8289521910569,2.263468931091861,3.3994953469032696,0.69,1.2899999999999998,-0.6934689310918609
fixed_economic_scale,2,2000-03-31,0.5607075014643806,155.40675113727858,3.2179720704310855,4.313335681097841,0.6099999999999994,0.9699999999999998,2.3320279295689144
fixed_economic_scale,3,2007-11-30,0.6469057150338952,120.7613524211291,3.610698365527476,2.6179282370540014,0.8200000000000003,0.6300000000000003,0.2893016344725239
fixed_economic_scale,4,1967-12-31,0.7725608455988038,78.42835398095079,3.10218978102188,2.823138586801144,0.6499999999999995,1.0199999999999996,1.6278102189781203
fixed_economic_scale,5,2013-02-28,0.8393271936085969,108.11541819711718,1.684061762098299,1.4467904237824847,0.9300000000000006,1.8399999999999999,-1.6140617620982989
fixed_economic_scale,6,1993-11-30,0.8834379563240222,66.31329785741949,2.752293577981657,2.892835100274227,0.6399999999999997,2.31,0.26770642201834294
fixed_economic_scale,7,1973-05-31,1.0195988649421583,77.72931679037765,5.301204819277117,8.254920601045711,0.8300000000000001,0.41000000000000014,0.9587951807228832
fixed_economic_scale,8,1988-11-30,1.0226903192943746,48.47933617416141,4.260869565217407,3.118549371874013,0.9000000000000004,1.450000000000001,3.089130434782593
full_sample_diagnostic,1,2017-10-31,16.758109320124507,142.4622078814864,2.1805652303711787,1.0630336308315114,0.6699999999999999,1.1700000000000002,-1.1505652303711786
full_sample_diagnostic,2,2005-03-31,19.242430963150554,107.89766184244958,3.0530262453133394,3.8921878697906642,0.6200000000000001,1.63,-0.5130262453133394
full_sample_diagnostic,3,2000-03-31,20.081104754445033,155.40675113727858,3.2179720704310855,4.313335681097841,0.6099999999999994,0.9699999999999998,2.3320279295689144
full_sample_diagnostic,4,1967-12-31,21.681999264421243,78.42835398095079,3.10218978102188,2.823138586801144,0.6499999999999995,1.0199999999999996,1.6278102189781203
full_sample_diagnostic,5,1993-11-30,30.419939633155444,66.31329785741949,2.752293577981657,2.892835100274227,0.6399999999999997,2.31,0.26770642201834294
full_sample_diagnostic,6,2011-07-31,31.497587486771774,107.86850204619134,3.5023181506360412,2.3688810428642126,0.7599999999999998,2.96,-3.462318150636041
full_sample_diagnostic,7,1973-04-30,33.831685662134504,77.72931679037765,4.8309178743961345,9.499268853655618,0.7399999999999993,0.6200000000000001,1.2590821256038653
full_sample_diagnostic,8,1978-04-30,45.00453560610831,37.8499909900336,6.375838926174482,4.716084453794966,0.75,1.7499999999999991,-0.08583892617448186
omit_valuation_sensitivity,1,2000-03-31,15.794449114357414,155.40675113727858,3.2179720704310855,4.313335681097841,0.6099999999999994,0.9699999999999998,2.3320279295689144
omit_valuation_sensitivity,2,2017-10-31,17.298016173508238,142.4622078814864,2.1805652303711787,1.0630336308315114,0.6699999999999999,1.1700000000000002,-1.1505652303711786
omit_valuation_sensitivity,3,2005-03-31,17.88410872148623,107.89766184244958,3.0530262453133394,3.8921878697906642,0.6200000000000001,1.63,-0.5130262453133394
omit_valuation_sensitivity,4,1964-07-31,22.455470841367283,73.90426113206195,1.3067624959163693,5.969950706151028,0.4399999999999995,0.69,2.1732375040836307
omit_valuation_sensitivity,5,1993-11-30,23.472453660074542,66.31329785741949,2.752293577981657,2.892835100274227,0.6399999999999997,2.31,0.26770642201834294
omit_valuation_sensitivity,6,1978-11-30,24.934072155113096,35.735040634611025,8.92857142857142,5.928852938076479,0.6999999999999993,0.6500000000000004,-0.9385714285714197
omit_valuation_sensitivity,7,1988-11-30,30.836694688213516,48.47933617416141,4.260869565217407,3.118549371874013,0.9000000000000004,1.450000000000001,3.089130434782593
omit_valuation_sensitivity,8,2011-07-31,31.388203697138565,107.86850204619134,3.5023181506360412,2.3688810428642126,0.7599999999999998,2.96,-3.462318150636041
