subset,asset,horizon_years,metric,n,median,minimum,maximum,negative_pct
nearest_four,US_market_total,1,nominal_cumulative_pct,4,6.818599147044124,-25.74785022935626,14.406906659503482,25.0
nearest_four,US_market_total,1,real_cumulative_pct,4,4.571168222458599,-27.898253203974555,10.625807090386186,25.0
nearest_four,US_market_total,3,nominal_cumulative_pct,4,26.51217230665516,-42.31665497183978,36.4587912373634,25.0
nearest_four,US_market_total,3,real_cumulative_pct,4,16.05507545226279,-46.36295813042198,29.280943180121245,25.0
nearest_four,US_market_total,5,nominal_cumulative_pct,4,25.905668392927126,-14.310336004676428,61.56313552639179,25.0
nearest_four,US_market_total,5,real_cumulative_pct,4,8.739158793593893,-24.117387140340085,33.70716077921625,25.0
nearest_four,T_bill_total,1,nominal_cumulative_pct,4,3.628949828135186,1.6015825943296311,5.914348279943282,0.0
nearest_four,T_bill_total,1,real_cumulative_pct,4,0.9984824678190395,-0.8687991197239286,2.846982145771171,25.0
nearest_four,T_bill_total,3,nominal_cumulative_pct,4,11.773344024859966,4.609483448146601,13.143202321148518,0.0
nearest_four,T_bill_total,3,real_cumulative_pct,4,2.5105695808055772,-0.8930640295844672,5.080902275509791,25.0
nearest_four,T_bill_total,5,nominal_cumulative_pct,4,13.802582881954628,5.459543488520202,25.40254458284572,0.0
nearest_four,T_bill_total,5,real_cumulative_pct,4,0.9417565529078575,-12.723307263252936,5.70616665651833,25.0
nearest_four,Gold_spot_price,1,nominal_cumulative_pct,4,-2.3676339285714385,-8.041958041958042,28.34101382488474,50.0
nearest_four,Gold_spot_price,1,real_cumulative_pct,4,-4.4112952488142625,-10.705138132736082,24.09939794484348,75.0
nearest_four,Gold_spot_price,3,nominal_cumulative_pct,4,33.83413461538467,0.0,123.04147465437777,0.0
nearest_four,Gold_spot_price,3,real_cumulative_pct,4,25.74833588113674,-7.125748502994,101.77892861849416,25.0
nearest_four,Gold_spot_price,5,nominal_cumulative_pct,4,40.87412587412593,19.99999999999995,156.4516129032258,0.0
nearest_four,Gold_spot_price,5,real_cumulative_pct,4,20.983446232228463,1.1521739130434303,127.8358543549567,0.0
free_float_gold_1971plus,US_market_total,1,nominal_cumulative_pct,7,7.152524167247543,-25.74785022935626,29.262512909940597,28.57142857142857
free_float_gold_1971plus,US_market_total,1,real_cumulative_pct,7,4.732038470099154,-27.898253203974555,23.512949190356245,42.857142857142854
free_float_gold_1971plus,US_market_total,3,nominal_cumulative_pct,7,36.4587912373634,-42.31665497183978,70.86027007099402,14.285714285714285
free_float_gold_1971plus,US_market_total,3,real_cumulative_pct,7,29.280943180121245,-46.36295813042198,57.187141968274304,28.57142857142857
free_float_gold_1971plus,US_market_total,5,nominal_cumulative_pct,7,61.56313552639179,-14.310336004676428,158.32923295270837,14.285714285714285
free_float_gold_1971plus,US_market_total,5,real_cumulative_pct,7,33.70716077921625,-24.117387140340085,129.8358806282476,28.57142857142857
free_float_gold_1971plus,T_bill_total,1,nominal_cumulative_pct,7,3.690805124887264,0.0200009999999917,8.39658972734465,0.0
free_float_gold_1971plus,T_bill_total,1,real_cumulative_pct,7,0.1040960369793397,-2.182331399967663,3.5751369674309696,42.857142857142854
free_float_gold_1971plus,T_bill_total,3,nominal_cumulative_pct,7,12.950730445985135,0.0700210035003312,23.720038238895125,0.0
free_float_gold_1971plus,T_bill_total,3,real_cumulative_pct,7,2.183136169557587,-5.0295902109324775,8.00813207648099,42.857142857142854
free_float_gold_1971plus,T_bill_total,5,nominal_cumulative_pct,7,14.279078472436302,0.1901670901333307,35.24281598293011,0.0
free_float_gold_1971plus,T_bill_total,5,real_cumulative_pct,7,0.3560897298906074,-12.723307263252936,13.171526099829167,42.857142857142854
free_float_gold_1971plus,Gold_spot_price,1,nominal_cumulative_pct,7,1.3350286077558504,-8.041958041958042,89.01098901098902,42.857142857142854
free_float_gold_1971plus,Gold_spot_price,1,real_cumulative_pct,7,-0.0813300098642444,-10.705138132736082,71.72100249023327,57.14285714285714
free_float_gold_1971plus,Gold_spot_price,3,nominal_cumulative_pct,7,19.230769230769273,-16.65607120152577,123.04147465437777,28.57142857142857
free_float_gold_1971plus,Gold_spot_price,3,real_cumulative_pct,7,9.568862510039011,-25.17105535973463,101.77892861849416,42.857142857142854
free_float_gold_1971plus,Gold_spot_price,5,nominal_cumulative_pct,7,29.999999999999982,-21.39037433155082,156.4516129032258,42.857142857142854
free_float_gold_1971plus,Gold_spot_price,5,real_cumulative_pct,7,7.585996302100262,-30.06090586475575,127.8358543549567,42.857142857142854
