specification,asset,horizon_years,metric,episode_n,episode_median,episode_mean,episode_p10,episode_p90,episode_minimum,episode_maximum,episode_negative_pct,unconditional_n,unconditional_median,unconditional_mean,unconditional_p10,unconditional_p90,unconditional_minimum,unconditional_maximum,unconditional_negative_pct,median_excess_pp
expanding_primary,US_market_total,1,nominal_cumulative_pct,8,6.723863792920248,3.2319543516660985,-17.019766042346763,18.863588534634616,-25.74785022935626,29.262512909940597,25.0,686,13.521406481474685,11.806027073848304,-11.256337074729121,31.623531553835193,-42.56738570312244,67.01839752911872,22.011661807580175,-6.7975426885544366
expanding_primary,US_market_total,1,real_cumulative_pct,8,4.571168222458599,-0.28728815849053535,-23.217905473535254,14.491949720377201,-27.898253203974555,23.512949190356245,37.5,686,9.919799503823846,7.644383979700006,-15.350413546013714,27.387806574452377,-47.47162673676524,62.98576016423052,28.134110787172013,-5.348631281365247
expanding_primary,US_market_total,3,nominal_cumulative_pct,8,34.83270399117876,29.158617802831817,-8.297640814224572,62.62104758587376,-42.31665497183978,70.86027007099402,12.5,686,39.42749725699023,38.50607694270868,-8.791236612242637,76.2397845429562,-42.31665497183978,126.59746202205642,13.119533527696792,-4.594793265811468
expanding_primary,US_market_total,3,real_cumulative_pct,8,26.497795713259997,17.10317421443282,-25.955867063026666,52.84400458857284,-46.36295813042198,57.187141968274304,25.0,686,24.224149053728993,23.654714987686862,-19.268889668956362,59.470965356310735,-47.267862053933115,111.4736903146862,21.137026239067055,2.2736466595310034
expanding_primary,US_market_total,5,nominal_cumulative_pct,8,49.32596023071676,57.55724968765561,6.012685494165842,117.2693709649803,-14.310336004676428,158.32923295270837,12.5,685,74.21161945252142,73.12303340500311,2.2267400172379626,138.8156643372064,-27.168148082666978,247.37181741627364,8.75912408759124,-24.88565922180466
expanding_primary,US_market_total,5,real_cumulative_pct,8,24.63203295326294,34.4858377985384,-20.226482131949233,90.0627955944206,-24.117387140340085,129.8358806282476,25.0,684,42.883710994577285,43.51288277422388,-16.30137248641151,104.57691154340561,-46.599571025038436,201.27307838123892,23.538011695906434,-18.251678041314346
expanding_primary,T_bill_total,1,nominal_cumulative_pct,8,3.7115663248492137,4.318476695048143,1.1271081160307395,7.885587942530361,0.02000099999999172,8.39658972734465,0.0,686,4.802490107567403,4.542594980651732,0.07002100350033125,8.714480681511915,0.0,15.21787816152489,0.0,-1.090923782718189
expanding_primary,T_bill_total,1,real_cumulative_pct,8,0.582280155450754,0.6313050390431313,-1.619283663498321,3.0654285922691105,-2.182331399967663,3.5751369674309696,37.5,686,0.4536164253041153,0.5551963896771782,-2.1323752953210984,3.6329214517993536,-8.147720826611415,6.987382759959071,40.816326530612244,0.12866373014663868
expanding_primary,T_bill_total,3,nominal_cumulative_pct,8,13.046966383566827,12.775596454077299,3.2476447147527203,22.479935667665842,0.07002100350033125,23.720038238895125,0.0,686,15.25858492739808,14.489148515140354,0.4659687126856382,28.42329295786029,0.009999999999998899,42.83989872105547,0.0,-2.2116185438312517
expanding_primary,T_bill_total,3,real_cumulative_pct,8,2.5105695808055772,1.641483067202726,-5.01327122789503,6.567875472735356,-5.0295902109324775,8.00813207648099,37.5,686,1.6150854832952644,1.6288062550295488,-5.783348919454195,9.14254868218145,-12.982384061814633,18.363688146493672,44.89795918367347,0.8954840975103129
expanding_primary,T_bill_total,5,nominal_cumulative_pct,8,19.840811527641012,19.13329237967899,3.878730569004141,32.94792996272808,0.19016709013333077,35.24281598293011,0.0,685,26.518888664759,25.72375535026212,2.1270202354523264,50.182850293804854,0.11005501650327432,69.5420921181686,0.0,-6.678077137117988
expanding_primary,T_bill_total,5,real_cumulative_pct,8,0.9417565529078575,0.4145691010831096,-9.073991538634216,10.065997184005198,-12.723307263252936,13.171526099829167,37.5,684,1.3893595452089347,2.873833022116855,-7.945866443952608,15.586952149741478,-13.006016209684624,30.918498843768294,47.22222222222222,-0.44760299230107714
expanding_primary,sector_NoDur,1,nominal_cumulative_pct,8,6.832919571723828,9.384065669652045,-3.565098238210501,25.00859072485359,-16.97948005202128,38.66388219186854,12.5,686,13.270361076374781,13.236557303549727,-7.313946140478489,35.43915508667162,-45.30344304010855,63.4335521685101,19.97084548104956,-6.437441504650954
expanding_primary,sector_NoDur,1,real_cumulative_pct,8,4.136126570369947,5.72013182003105,-7.582594714421242,20.742665269912333,-24.57387272917525,32.49614795616984,37.5,686,8.745422150713667,9.02188058286274,-10.612221933194071,30.35982382585761,-51.1406250081602,60.5951266738102,28.425655976676385,-4.60929558034372
expanding_primary,sector_NoDur,3,nominal_cumulative_pct,8,34.32222711922631,37.74590811401734,6.4756186864016545,76.44131791642909,4.753925526285552,87.48943458153389,0.0,686,37.14897036734472,44.53087778818079,5.517079454754281,99.45715240342035,-43.427141811438354,193.01296132353616,5.97667638483965,-2.8267432481184045
expanding_primary,sector_NoDur,3,real_cumulative_pct,8,23.18540511752215,24.73090131129203,-4.4182951173225735,59.679626885201706,-18.400239830683084,63.67909274425634,12.5,686,21.337295871311767,28.960990973125465,-5.086818362875229,76.03800321100667,-54.38394043293844,168.03733983989554,16.909620991253643,1.8481092462103845
expanding_primary,sector_NoDur,5,nominal_cumulative_pct,8,54.049489495737205,71.87273652222964,32.077578179279556,126.24404830729003,20.94393392141938,149.3430926786659,0.0,685,63.718331381158386,85.22473281211629,15.875891703588964,175.5622443684933,-29.850822026190883,382.31229869895884,4.233576642335766,-9.66884188542118
expanding_primary,sector_NoDur,5,real_cumulative_pct,8,33.4835457817844,47.25873893657745,4.091347172547229,100.98867122082157,-17.288733765789864,121.84089903159796,12.5,684,36.497028024323825,53.28007507307602,-5.723596610909478,126.28300961086116,-48.5665118018119,313.2289026638707,12.719298245614036,-3.0134822425394248
expanding_primary,sector_Durbl,1,nominal_cumulative_pct,8,-11.993880204782041,-7.444180219759891,-18.013410256607674,6.472202646865416,-19.64496786355975,10.127288559131475,62.5,686,8.52422933134681,13.335872058769,-17.19441486232158,46.585326876724174,-65.12117332251165,260.8320136460717,33.09037900874635,-20.51810953612885
expanding_primary,sector_Durbl,1,real_cumulative_pct,8,-14.388693554923536,-10.610015603850357,-21.027568801995326,2.6200186298416432,-26.99553213383702,8.174429737310284,75.0,686,4.639783445405499,9.19632188509256,-20.233142206174236,41.81876972262223,-65.12412491688036,251.45580954828674,42.565597667638485,-19.028477000329033
expanding_primary,sector_Durbl,3,nominal_cumulative_pct,8,17.448098116144305,17.92777790126891,-17.396938088107373,63.75322678663145,-32.21651007508226,78.12686691508743,37.5,686,25.365421127915223,39.4218321667037,-15.979960835645585,105.06839428109669,-65.55179402997071,391.5347987684198,18.075801749271136,-7.917323011770918
expanding_primary,sector_Durbl,3,real_cumulative_pct,8,0.38501886099729443,7.211393349735378,-26.731143719472485,55.32063130578358,-36.97130626883669,68.75724276676061,50.0,686,12.12327761889731,24.622705010045294,-24.88216614901347,85.46524168894547,-67.7065782636805,342.3926951887951,34.11078717201166,-11.738258757900017
expanding_primary,sector_Durbl,5,nominal_cumulative_pct,8,40.88153328359538,53.819057831216874,0.7313152319416405,112.57540235734749,-5.950009314853554,162.38575423186506,12.5,685,54.405243732534544,72.06364492436701,-7.294004676256258,174.0059036607901,-68.54218628655377,418.65460296334726,14.16058394160584,-13.523710448939163
expanding_primary,sector_Durbl,5,real_cumulative_pct,8,23.371580996124564,30.391215805258934,-16.136992215111817,84.23906324135386,-16.444432783068198,117.1464060347171,50.0,684,26.340975733679883,42.6718616523057,-27.821258126299707,126.22504551393524,-72.38817225593941,360.17272593698993,31.871345029239766,-2.9693947375553194
expanding_primary,sector_Manuf,1,nominal_cumulative_pct,8,0.09382237175459274,4.921213622405245,-7.507652519956935,23.48864403538679,-7.760884019483861,23.887953740347378,50.0,686,13.647455521598905,12.453743495617513,-10.597553316637892,34.5955342974913,-54.53872076788959,84.18216355044908,25.801749271137027,-13.553633149844313
expanding_primary,sector_Manuf,1,real_cumulative_pct,8,-1.8899079013096343,1.2962985130770752,-12.063510231955286,18.420718702037924,-15.8698908710034,19.79350960070645,50.0,686,9.489025901382176,8.279513230270473,-15.670570758803386,30.19849350768815,-54.54256789431435,80.30323451198342,31.195335276967928,-11.37893380269181
expanding_primary,sector_Manuf,3,nominal_cumulative_pct,8,40.58868397066212,34.7019085222787,-0.42487600946354753,67.72566800413578,-22.54921464164018,78.96869097480696,12.5,686,39.87694762022463,38.56956397531682,-3.703482357823634,72.09812805380815,-43.43175826187702,154.80669428903343,11.807580174927114,0.7117363504374907
expanding_primary,sector_Manuf,3,real_cumulative_pct,8,25.052938541119516,22.055362572644608,-16.385225763861566,55.30321452876537,-27.98214085764258,64.64668482874494,25.0,686,25.182777626557005,23.875347970783956,-15.94120583417551,58.292364842415665,-46.970182165056194,137.37088985082426,22.157434402332363,-0.12983908543748868
expanding_primary,sector_Manuf,5,nominal_cumulative_pct,8,48.02748179834521,57.973335707917315,27.28918449598316,101.5315018045872,13.189548912017512,126.93942934223115,0.0,685,69.64242771461444,71.97136583124806,14.954082448154374,135.5729566906964,-25.54331879127042,272.80523303049,5.109489051094891,-21.614945916269235
expanding_primary,sector_Manuf,5,real_cumulative_pct,8,26.036537837055196,35.02863961330333,2.899926004075189,72.38185747198312,-22.591810837947325,101.90832836054695,12.5,684,37.242018112056556,43.19610294192641,-10.873465601692574,108.08762754452059,-45.45689231348936,236.65271513434845,17.83625730994152,-11.20548027500136
expanding_primary,sector_Enrgy,1,nominal_cumulative_pct,8,4.43754846607124,7.178072918907165,-7.340875671772347,23.58730657020897,-8.663898424412086,31.881027380955263,25.0,686,13.034075153478286,12.643641575992046,-14.735910208453767,40.526572145413056,-54.39154298894441,125.29233704316654,26.82215743440233,-8.596526687407046
expanding_primary,sector_Enrgy,1,real_cumulative_pct,8,1.843344655741297,3.4682513515278983,-10.759511026109923,19.05057186465297,-17.018968007210145,26.01499280324795,37.5,686,9.111987383947017,8.228225157668469,-19.593888122071654,33.6894667989895,-55.06292090934382,112.06970127188596,32.50728862973761,-7.26864272820572
expanding_primary,sector_Enrgy,3,nominal_cumulative_pct,8,27.636088982742248,24.98457766753606,-17.037604864618242,68.27807136355054,-52.57651156287331,69.25999385475106,25.0,686,35.85246306546964,41.81282963323989,-7.492477391288732,102.85998377685536,-52.59565144343624,267.7794513212249,15.889212827988338,-8.216374082727395
expanding_primary,sector_Enrgy,3,real_cumulative_pct,8,19.874607807332545,12.637806941696756,-22.607525620639436,53.51443690056708,-55.07102724236492,54.42443683716161,37.5,686,21.44672694948738,25.484846718029065,-16.623007077180713,75.97603427810765,-55.20102071421811,211.19109206434774,27.259475218658892,-1.5721191421548362
expanding_primary,sector_Enrgy,5,nominal_cumulative_pct,8,56.803025229184726,57.591685096915825,25.29178597939622,97.1244084536034,-3.0133250918210064,102.60256684407824,12.5,685,64.59729496939252,75.213599829403,5.157111929433062,151.84948846023218,-54.45604937775255,340.6432097335082,7.445255474452554,-7.794269740207795
expanding_primary,sector_Enrgy,5,real_cumulative_pct,8,33.19079624142635,33.48680062264143,-6.035346258564611,74.81605358416274,-8.953683695907122,80.25578768577348,25.0,684,34.504448388939615,42.982603950469446,-8.942819483188659,103.52263947365164,-58.35614589487026,222.05210723251284,18.27485380116959,-1.3136521475132668
expanding_primary,sector_Chems,1,nominal_cumulative_pct,8,3.3639910023746222,5.336757053864846,-4.650444478269768,17.925100285646025,-8.48522422447452,32.500094657926624,37.5,686,11.362751641803026,11.337574127285313,-10.479042518473541,31.421430580517516,-40.52363706573975,61.95261292670962,23.323615160349853,-7.998760639428404
expanding_primary,sector_Chems,1,real_cumulative_pct,8,0.7495661974125711,1.7121108532160227,-8.812697981677777,14.173949865611373,-16.85663822473048,26.606524125087926,50.0,686,6.850736170429384,7.200848127245134,-14.630567661076928,26.958885116637678,-41.938107104629694,58.22023807970127,31.341107871720116,-6.1011699730168125
expanding_primary,sector_Chems,3,nominal_cumulative_pct,8,31.832559367932177,36.80104319197541,10.574666587717706,65.8443055990565,9.168643579345392,88.18815646271085,0.0,686,36.26054775395204,36.53220804408961,0.7524700828010933,72.64754974758128,-22.129002275864384,169.6678905597499,9.329446064139942,-4.427988386019862
expanding_primary,sector_Chems,3,real_cumulative_pct,8,22.01029729707861,23.827767638509677,-1.3185078803848511,50.08174381122909,-7.920250782135541,73.12836070293503,12.5,686,22.31813828140994,22.04382898423074,-13.269353533364143,56.92291540889234,-34.2439020108179,146.682138903954,26.82215743440233,-0.30784098433133167
expanding_primary,sector_Chems,5,nominal_cumulative_pct,8,48.27458912428793,57.268649948160935,7.232923540526637,117.71478977600448,4.091052037218801,146.06814633613564,0.0,685,57.353747831145085,67.83295470084587,13.855476458077058,136.9388631264041,-12.091162024369895,308.866313530776,4.087591240875913,-9.079158706857157
