indicator,value,expanding_percentile,percentile_history_start,percentile_n,reference_month,assumed_available
equity_gdp_pct,255.65067496938534,100.0,1954-07-31,866,2026-04,2026-09-16
cpi_yoy_pct,3.353016322755642,59.930715935334874,1954-07-31,866,2026-08,2026-09-16
ip_yoy_pct,1.4204223973108832,36.027713625866056,1954-07-31,866,2026-08,2026-09-16
baa_aaa_pp,0.4400000000000004,2.886836027713626,1954-07-31,866,2026-08,2026-09-16
curve_10y_3m_pp,0.9599999999999995,38.33718244803695,1954-07-31,866,2026-08,2026-09-16
real_bill_expost_pct,0.3669836772443582,41.685912240184756,1954-07-31,866,2026-08,2026-09-16
