specification,date,horizon_years,asset,nominal_cumulative_pct,real_cumulative_pct,endpoint,return_kind
expanding_primary,2000-03-31,1,US_market_total,-25.74785022935626,-27.898253203974555,2001-03,total return
expanding_primary,2000-03-31,1,T_bill_total,5.914348279943282,2.846982145771171,2001-03,total return
expanding_primary,2000-03-31,1,sector_NoDur,19.15632295327576,15.705458404373406,2001-03,total return
expanding_primary,2000-03-31,1,sector_Durbl,-9.647382421273253,-12.264068109243187,2001-03,total return
expanding_primary,2000-03-31,1,sector_Manuf,-7.760884019483861,-10.432204243791809,2001-03,total return
expanding_primary,2000-03-31,1,sector_Enrgy,10.291646478803829,7.097510209400659,2001-03,total return
expanding_primary,2000-03-31,1,sector_Chems,-1.8406973704312768,-4.683471041134279,2001-03,total return
expanding_primary,2000-03-31,1,sector_BusEq,-60.48707148683376,-61.63139820697656,2001-03,total return
expanding_primary,2000-03-31,1,sector_Telcm,-41.80587342269855,-43.49122291471579,2001-03,total return
expanding_primary,2000-03-31,1,sector_Utils,39.458244564330556,35.41941976434144,2001-03,total return
expanding_primary,2000-03-31,1,sector_Shops,-9.690544418917057,-12.305980100140912,2001-03,total return
expanding_primary,2000-03-31,1,sector_Hlth,7.367904699616501,4.258442382932559,2001-03,total return
expanding_primary,2000-03-31,1,sector_Money,12.29536265101805,9.043197122794378,2001-03,total return
expanding_primary,2000-03-31,1,sector_Other,-15.63968398708685,-18.08282772170272,2001-03,total return
expanding_primary,2000-03-31,1,Gold_spot_price,-8.041958041958042,-10.705138132736082,2001-03,spot price (monthly-average marks)
expanding_primary,2000-03-31,3,US_market_total,-42.31665497183978,-46.36295813042198,2003-03,total return
expanding_primary,2000-03-31,3,T_bill_total,10.595957603734796,2.8380029920535677,2003-03,total return
expanding_primary,2000-03-31,3,sector_NoDur,11.630117887121294,3.7996202213036456,2003-03,total return
expanding_primary,2000-03-31,3,sector_Durbl,-32.21651007508226,-36.97130626883669,2003-03,total return
expanding_primary,2000-03-31,3,sector_Manuf,-22.54921464164018,-27.98214085764258,2003-03,total return
expanding_primary,2000-03-31,3,sector_Enrgy,-1.8066448510803634,-8.694596354185657,2003-03,total return
expanding_primary,2000-03-31,3,sector_Chems,9.168643579345392,1.5108105060797294,2003-03,total return
expanding_primary,2000-03-31,3,sector_BusEq,-75.63646929946735,-77.34549347585055,2003-03,total return
expanding_primary,2000-03-31,3,sector_Telcm,-69.1835724776732,-71.34524683894571,2003-03,total return
expanding_primary,2000-03-31,3,sector_Utils,-1.425086346642157,-8.339802965066934,2003-03,total return
expanding_primary,2000-03-31,3,sector_Shops,-24.939042586265835,-30.204329974178677,2003-03,total return
expanding_primary,2000-03-31,3,sector_Hlth,-11.187490177680715,-17.41740522231323,2003-03,total return
expanding_primary,2000-03-31,3,sector_Money,-0.9472493687851635,-7.895484731170543,2003-03,total return
expanding_primary,2000-03-31,3,sector_Other,-38.52257591778461,-42.83502165275242,2003-03,total return
expanding_primary,2000-03-31,3,Gold_spot_price,19.230769230769273,10.867110051449401,2003-03,spot price (monthly-average marks)
expanding_primary,2000-03-31,5,US_market_total,-14.310336004676428,-24.117387140340085,2005-03,total return
expanding_primary,2000-03-31,5,T_bill_total,13.326087291472955,0.3560897298906074,2005-03,total return
expanding_primary,2000-03-31,5,sector_NoDur,62.200968842804286,43.6373157541146,2005-03,total return
expanding_primary,2000-03-31,5,sector_Durbl,3.5947400377110084,-8.261519697314434,2005-03,total return
expanding_primary,2000-03-31,5,sector_Manuf,33.47930864173678,18.20280568481092,2005-03,total return
expanding_primary,2000-03-31,5,sector_Enrgy,94.77662628625703,72.48473896918671,2005-03,total return
expanding_primary,2000-03-31,5,sector_Chems,59.50956049553247,41.25393498050778,2005-03,total return
expanding_primary,2000-03-31,5,sector_BusEq,-64.95945656807622,-68.96979323221665,2005-03,total return
expanding_primary,2000-03-31,5,sector_Telcm,-58.36186582348445,-63.12728666916541,2005-03,total return
expanding_primary,2000-03-31,5,sector_Utils,67.08492532363854,47.9623108769663,2005-03,total return
expanding_primary,2000-03-31,5,sector_Shops,10.748699023617458,-1.9263203881999758,2005-03,total return
expanding_primary,2000-03-31,5,sector_Hlth,4.478133884423974,-7.4792289267918255,2005-03,total return
expanding_primary,2000-03-31,5,sector_Money,48.32805265473075,31.352133630030842,2005-03,total return
expanding_primary,2000-03-31,5,sector_Other,-1.214173581099398,-12.520060499057472,2005-03,total return
expanding_primary,2000-03-31,5,Gold_spot_price,51.74825174825188,34.38089616235666,2005-03,spot price (monthly-average marks)
expanding_primary,2017-10-31,1,US_market_total,7.341994875495295,4.732038470099154,2018-10,total return
expanding_primary,2017-10-31,1,T_bill_total,1.6015825943296313,-0.8687991197239286,2018-10,total return
expanding_primary,2017-10-31,1,sector_NoDur,2.183922539136973,-0.30061842238381375,2018-10,total return
expanding_primary,2017-10-31,1,sector_Durbl,-14.440252090462536,-16.520586188590556,2018-10,total return
expanding_primary,2017-10-31,1,sector_Manuf,-3.2009822457672144,-5.554592468092123,2018-10,total return
expanding_primary,2017-10-31,1,sector_Enrgy,4.6394126198110675,2.095167885578819,2018-10,total return
