decision_date,expanding_primary,fixed_economic_scale,full_sample_diagnostic,omit_valuation_sensitivity
1964-07-31,21.493934407881703,0.9120717714524116,35.45245740161281,22.455470841367283
1964-08-31,27.08936305865507,0.9697851814222315,38.602629984483414,28.739506479394276
1964-09-30,28.6480766246799,0.9958084073275512,39.02069201964152,31.305228698312707
1964-10-31,24.35385412590178,0.9548731288757736,37.28307914187319,26.556630569237818
1964-11-30,22.215265719452965,0.8853739469525798,34.563295261309165,24.16396025846071
1964-12-31,24.70646536025957,0.9634676490788332,36.14368329185357,27.064576788068333
1965-01-31,32.62740815557646,1.058944136115619,39.82235358213493,35.739772512206066
1965-02-28,32.91870624614909,1.0739607532033681,40.692455901820324,36.05375797489499
1965-03-31,33.01277807057124,1.0673840692759984,40.16201628445492,36.16368647032748
1965-04-30,33.802241664052865,1.1407027369576586,41.0830545190983,37.02687759902267
1965-05-31,30.880516250372114,1.0600280981657808,38.95195513497577,33.82091317345424
1965-06-30,28.623676892019187,1.0532671382877525,37.37057595220279,31.338936878229077
1965-07-31,24.606708967463177,1.0555938623393273,35.13925272837229,26.921211045571972
1965-08-31,26.766935894282206,1.0819802215541603,36.32635905355351,29.273469442340254
1965-09-30,28.577907469443314,1.089521112648613,38.80905321292744,29.30425996056988
1965-10-31,28.936217320103417,1.0791802398868817,38.119604875148966,29.62949369788639
1965-11-30,32.720031081759686,1.237400676075427,39.49690116476591,33.94494731363158
1965-12-31,28.3365844528619,1.0614573698051837,36.94962578284651,31.041173014965295
1966-01-31,30.84327512372327,1.0695300753097112,37.12535787145061,33.78556088738846
1966-02-28,32.45692503262908,1.0862506538000753,38.22711678479873,35.54895669137184
1966-03-31,27.886929250718666,1.037443618858435,34.36775072339802,30.54860042033851
1966-04-30,25.237851462307326,1.0213224949339283,32.566996878227144,27.644861677330653
1966-05-31,25.705086446796663,1.0106368382381223,32.395352149845316,28.15146561739727
1966-06-30,28.265178001123957,1.0384843843655056,34.38568116414323,30.60552856691673
1966-07-31,27.793585989672035,1.0227949881428544,34.76401456485454,30.038121588635683
1966-08-31,28.129092000431157,1.0016526601689617,33.77665531756784,30.364517089479293
1966-09-30,29.510871615454167,0.9755100330081178,32.43335839322995,29.241609544094157
1966-10-31,34.37739359921832,1.055500984196809,35.2649407108118,34.96172056244493
1966-11-30,36.980704694427025,1.0595293373986447,35.50592864547922,37.93927653097957
1966-12-31,46.845416349816354,1.0374842630083787,39.970050930443215,44.69613626096976
1967-01-31,45.83239862169363,0.9922926257037112,38.5869464284578,43.34176154564055
1967-02-28,43.25163719281972,0.969963737847409,37.41143259208757,39.951238624951806
1967-03-31,42.29166526288599,0.9095252690277211,34.69555168489889,41.643312959667355
1967-04-30,35.23111756559486,0.8582278662881566,30.833551444976333,32.72362405679043
1967-05-31,33.5840134724516,0.8369150041377971,29.769378704313905,30.468825148167483
1967-06-30,32.19538557570876,0.8024238398872391,26.10107935985468,33.70406215542438
1967-07-31,35.076992563770155,0.7933123677764788,24.473954377826843,36.93191398377689
1967-08-31,27.253347834027917,0.789689539482266,23.466970732965283,27.823173169921375
