window,specification,sample,month,cape_pct,credit_pct
matched_screen,unconditional_same_eligible_months,monthly_pool,1972-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1972-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1972-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1972-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1972-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1972-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1973-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1974-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1975-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1976-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1977-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1978-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-04,,
