specification,month,horizon_years,asset,nominal_cumulative_pct,real_cumulative_pct,window,sample
unconditional_same_eligible_months,1964-07,1,MKT,6.295203419,4.410297975,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,CASH,3.732327525,1.892868899,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,NoDur,8.898434321,6.967366455,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Durbl,10.12728856,8.174429737,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Manuf,10.33759019,8.381002144,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Enrgy,1.78172211,-0.02314693289,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Chems,4.68367032,2.827341777,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,BusEq,9.469320606,7.52812936,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Telcm,-2.89455524,-4.616501063,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Utils,5.567187387,3.695191664,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Shops,12.60445058,10.60766489,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Hlth,18.04441419,15.95116302,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Money,-2.356728502,-4.088211467,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,1,Other,5.758828947,3.883434893,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,MKT,33.20661674,23.71464825,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,CASH,13.14320232,5.080902276,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,NoDur,38.59096731,28.71532353,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Durbl,22.54835528,13.81586769,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Manuf,62.90722959,51.29887011,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Enrgy,23.86932508,15.0427085,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Chems,11.17724788,3.255036801,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,BusEq,97.99652488,83.88779047,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Telcm,-10.78553594,-17.14273428,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Utils,3.082830636,-4.262592625,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Shops,22.54704118,13.81464723,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Hlth,71.12460541,58.9306964,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Money,20.79300791,12.18560195,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,3,Other,75.49084826,62.98581177,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,MKT,37.08878494,15.55690513,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,CASH,25.40254458,5.706166657,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,NoDur,45.89801015,22.98250747,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Durbl,15.70991902,-2.464084566,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Manuf,58.51620578,33.61882346,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Enrgy,37.42254787,15.83824551,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Chems,8.579439899,-8.474613433,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,BusEq,114.8083153,81.06940056,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Telcm,-7.313551565,-21.87136874,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Utils,2.472781765,-13.62212798,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Shops,52.21925415,28.31090391,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Hlth,84.37851091,55.41906001,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Money,56.38057673,31.81862745,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-07,5,Other,58.45908307,33.57067274,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,MKT,10.8335053,9.07703137,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,CASH,3.784048869,2.139293736,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,NoDur,13.61511004,11.81455362,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Durbl,12.30985462,10.52998371,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Manuf,16.12433219,14.28400997,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Enrgy,5.318618802,3.649544019,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Chems,8.629357179,6.907814276,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,BusEq,19.38420349,17.49221929,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Telcm,-0.04373509262,-1.627828039,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Utils,6.591598869,4.902350076,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Shops,14.80423852,12.98483695,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Hlth,31.00982699,28.93360152,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Money,4.318455294,2.665230963,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,1,Other,15.80965243,13.97431721,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,MKT,33.97480545,24.17664804,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,CASH,13.17705051,4.899922933,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,NoDur,37.81283475,27.73398564,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Durbl,21.00169885,12.15232088,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Manuf,63.43300179,51.48043897,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Enrgy,24.36162139,15.26651773,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Chems,13.47120131,5.172561211,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,BusEq,101.7869071,87.02935717,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Telcm,-10.49552549,-17.04137512,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Utils,2.453773746,-5.039114185,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Shops,22.54704118,13.58464563,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Hlth,79.82555371,66.67413262,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Money,26.15006548,16.92416517,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,3,Other,79.92004187,66.76171045,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,MKT,45.89608749,22.76621996,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,CASH,25.67765986,5.753152807,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,NoDur,53.51911134,29.18071564,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Durbl,17.20449597,-1.376704614,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Manuf,66.52595052,40.12549495,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Enrgy,49.31205598,25.64063247,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Chems,15.75522107,-2.596216421,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,BusEq,136.6296211,99.11516898,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Telcm,-4.291167377,-19.46451889,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Utils,1.191359424,-14.85117317,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Shops,64.05330361,38.04485304,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Hlth,110.424045,77.0641354,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Money,76.53139497,48.5447104,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-08,5,Other,77.4024155,49.27764231,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,MKT,11.0487787,9.152309989,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,CASH,3.815097148,2.0421638,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,NoDur,12.25217558,10.33515551,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Durbl,14.97163252,13.00817011,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Manuf,15.23839412,13.270376,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Enrgy,6.657328201,4.835855803,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Chems,7.382535288,5.54867795,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,BusEq,24.2960647,22.17336151,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Telcm,2.107490978,0.3637197853,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Utils,6.078938058,4.26734329,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Shops,10.18899275,8.307207291,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Hlth,30.35955923,28.1333049,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Money,1.642318565,-0.09350850681,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,1,Other,13.75385978,11.81119425,matched_screen,monthly_pool
unconditional_same_eligible_months,1964-09,3,MKT,34.5603028,24.46828009,matched_screen,monthly_pool
