specification,horizon_years,return_basis,asset,window,sample,n,median,mean,minimum,maximum,negative_pct
unconditional_same_eligible_months,1,real,Other,matched_screen,monthly_pool,684,8.206146524,6.266012358,-53.14213986,79.07529329,34.50292398
unconditional_same_eligible_months,1,real,BusEq minus MKT,matched_screen,monthly_pool,684,1.549205341,2.079922021,-35.15817331,73.79557513,45.1754386
unconditional_same_eligible_months,1,real,Chems minus MKT,matched_screen,monthly_pool,684,-1.092363054,-0.4244600607,-37.93181709,31.59956276,55.40935673
unconditional_same_eligible_months,1,real,Durbl minus MKT,matched_screen,monthly_pool,684,-2.416162831,1.423122624,-36.07156972,190.9461116,56.87134503
unconditional_same_eligible_months,1,real,Enrgy minus MKT,matched_screen,monthly_pool,684,-0.1554131104,0.3436859677,-62.4154499,79.73801389,50.58479532
unconditional_same_eligible_months,1,real,Hlth minus MKT,matched_screen,monthly_pool,684,1.787561245,1.582976836,-32.41093553,45.43203342,44.59064327
unconditional_same_eligible_months,1,real,Manuf minus MKT,matched_screen,monthly_pool,684,-0.1072644211,0.6371837317,-20.30000428,30.25420596,50.87719298
unconditional_same_eligible_months,1,real,Money minus MKT,matched_screen,monthly_pool,684,1.083372632,1.170165174,-35.64285518,49.85757496,44.44444444
unconditional_same_eligible_months,1,real,NoDur minus MKT,matched_screen,monthly_pool,684,1.608508853,1.387334406,-39.8711362,48.50179727,41.8128655
unconditional_same_eligible_months,1,real,Other minus MKT,matched_screen,monthly_pool,684,-1.381745526,-1.37995362,-21.21073324,31.43547279,60.38011696
unconditional_same_eligible_months,1,real,Shops minus MKT,matched_screen,monthly_pool,684,0.4102707683,1.542333423,-26.55604117,44.45281781,48.97660819
unconditional_same_eligible_months,1,real,Telcm minus MKT,matched_screen,monthly_pool,684,-1.059397996,-0.7876813688,-31.78010041,37.50672451,52.77777778
unconditional_same_eligible_months,1,real,Utils minus MKT,matched_screen,monthly_pool,684,-1.959695773,-1.368525343,-41.34266631,63.31767297,57.45614035
unconditional_same_eligible_months,3,nominal,MKT,matched_screen,monthly_pool,684,39.48433469,38.5410661,-42.31665497,126.597462,13.15789474
unconditional_same_eligible_months,3,nominal,CASH,matched_screen,monthly_pool,684,15.29782265,14.50839503,0.01,42.83989872,0
unconditional_same_eligible_months,3,nominal,NoDur,matched_screen,monthly_pool,684,37.28914404,44.61384642,-43.42714181,193.0129613,5.994152047
unconditional_same_eligible_months,3,nominal,Durbl,matched_screen,monthly_pool,684,25.36542113,39.5097035,-65.55179403,391.5347988,17.98245614
unconditional_same_eligible_months,3,nominal,Manuf,matched_screen,monthly_pool,684,39.91961069,38.59996562,-43.43175826,154.8066943,11.84210526
unconditional_same_eligible_months,3,nominal,Enrgy,matched_screen,monthly_pool,684,35.6699378,41.39007788,-52.59565144,267.7794513,15.93567251
unconditional_same_eligible_months,3,nominal,Chems,matched_screen,monthly_pool,684,36.45023782,36.61806744,-22.12900228,169.6678906,9.356725146
unconditional_same_eligible_months,3,nominal,BusEq,matched_screen,monthly_pool,684,40.1570283,45.25330064,-75.6364693,337.9282079,17.54385965
unconditional_same_eligible_months,3,nominal,Telcm,matched_screen,monthly_pool,684,32.94647998,37.43600552,-69.18357248,192.3070982,19.29824561
unconditional_same_eligible_months,3,nominal,Utils,matched_screen,monthly_pool,684,31.99951572,34.02384463,-30.1306809,127.258236,13.4502924
unconditional_same_eligible_months,3,nominal,Shops,matched_screen,monthly_pool,684,41.48150503,44.22314894,-53.07399181,206.5626743,10.23391813
unconditional_same_eligible_months,3,nominal,Hlth,matched_screen,monthly_pool,684,40.00620183,45.24030681,-30.49357383,176.7715979,16.08187135
unconditional_same_eligible_months,3,nominal,Money,matched_screen,monthly_pool,684,42.17742357,43.14627194,-67.6774266,196.7068451,11.98830409
unconditional_same_eligible_months,3,nominal,Other,matched_screen,monthly_pool,684,34.61040679,31.46391323,-51.90118264,140.3372312,18.85964912
unconditional_same_eligible_months,3,nominal,BusEq minus MKT,matched_screen,monthly_pool,684,0.8130830916,6.712234533,-60.36825601,226.4664742,48.97660819
unconditional_same_eligible_months,3,nominal,Chems minus MKT,matched_screen,monthly_pool,684,-3.348080454,-1.922998659,-94.76915508,51.48529855,54.67836257
unconditional_same_eligible_months,3,nominal,Durbl minus MKT,matched_screen,monthly_pool,684,-9.004231118,0.9686373972,-67.90417762,290.8947867,61.11111111
unconditional_same_eligible_months,3,nominal,Enrgy minus MKT,matched_screen,monthly_pool,684,-1.200693664,2.849011781,-94.2610562,238.4810029,51.02339181
unconditional_same_eligible_months,3,nominal,Hlth minus MKT,matched_screen,monthly_pool,684,7.123714935,6.699240703,-64.85188623,113.5155627,40.35087719
unconditional_same_eligible_months,3,nominal,Manuf minus MKT,matched_screen,monthly_pool,684,-1.249760691,0.05889952053,-44.76657459,53.23950945,53.07017544
unconditional_same_eligible_months,3,nominal,Money minus MKT,matched_screen,monthly_pool,684,3.546550882,4.605205839,-62.28039719,87.81240531,43.42105263
unconditional_same_eligible_months,3,nominal,NoDur minus MKT,matched_screen,monthly_pool,684,5.173419889,6.072780316,-97.80740639,75.41754809,42.10526316
unconditional_same_eligible_months,3,nominal,Other minus MKT,matched_screen,monthly_pool,684,-6.667030338,-7.077152873,-72.15375037,52.51209002,72.07602339
unconditional_same_eligible_months,3,nominal,Shops minus MKT,matched_screen,monthly_pool,684,4.061693557,5.682082841,-49.48538271,116.4228705,41.37426901
unconditional_same_eligible_months,3,nominal,Telcm minus MKT,matched_screen,monthly_pool,684,-1.100616344,-1.105060586,-67.74581005,90.93367632,51.31578947
unconditional_same_eligible_months,3,nominal,Utils minus MKT,matched_screen,monthly_pool,684,-4.247591469,-4.517221471,-82.23927694,66.03994345,58.33333333
unconditional_same_eligible_months,3,real,MKT,matched_screen,monthly_pool,684,24.27560273,23.69920615,-47.26786205,111.4736903,21.19883041
unconditional_same_eligible_months,3,real,CASH,matched_screen,monthly_pool,684,1.633330473,1.655451714,-12.98238406,18.36368815,44.73684211
unconditional_same_eligible_months,3,real,NoDur,matched_screen,monthly_pool,684,21.44691675,29.04706636,-54.38394043,168.0373398,16.8128655
unconditional_same_eligible_months,3,real,Durbl,matched_screen,monthly_pool,684,12.15389267,24.71368632,-67.70657826,342.3926952,34.06432749
unconditional_same_eligible_months,3,real,Manuf,matched_screen,monthly_pool,684,25.24513627,23.91656687,-46.97018217,137.3708899,22.22222222
unconditional_same_eligible_months,3,real,Enrgy,matched_screen,monthly_pool,684,21.33952477,25.1364321,-55.20102071,211.1910921,27.33918129
unconditional_same_eligible_months,3,real,Chems,matched_screen,monthly_pool,684,22.39384043,22.13208379,-34.24390201,146.6821389,26.60818713
unconditional_same_eligible_months,3,real,BusEq,matched_screen,monthly_pool,684,22.54235801,30.22985308,-77.34549348,309.2451907,29.09356725
unconditional_same_eligible_months,3,real,Telcm,matched_screen,monthly_pool,684,19.51868092,22.70778817,-71.34524684,173.161838,33.62573099
unconditional_same_eligible_months,3,real,Utils,matched_screen,monthly_pool,684,18.03870424,19.53820494,-43.55400141,99.23747648,27.48538012
unconditional_same_eligible_months,3,real,Shops,matched_screen,monthly_pool,684,26.36193739,28.93916289,-62.83894149,151.0214611,20.1754386
unconditional_same_eligible_months,3,real,Hlth,matched_screen,monthly_pool,684,23.93203516,29.84411712,-46.40621719,151.563295,23.97660819
unconditional_same_eligible_months,3,real,Money,matched_screen,monthly_pool,684,23.61998445,27.83086961,-69.6992495,177.6824851,17.83625731
unconditional_same_eligible_months,3,real,Other,matched_screen,monthly_pool,684,20.37995722,16.94590047,-61.21676387,119.8515445,27.04678363
unconditional_same_eligible_months,3,real,BusEq minus MKT,matched_screen,monthly_pool,684,0.6917063535,6.530646933,-55.13560608,211.6335823,48.97660819
unconditional_same_eligible_months,3,real,Chems minus MKT,matched_screen,monthly_pool,684,-2.970060896,-1.567122357,-88.56205253,47.87376864,54.67836257
unconditional_same_eligible_months,3,real,Durbl minus MKT,matched_screen,monthly_pool,684,-8.156024471,1.014480174,-59.30560231,263.0039146,61.11111111
unconditional_same_eligible_months,3,real,Enrgy minus MKT,matched_screen,monthly_pool,684,-1.082513824,1.437225952,-89.13873965,201.7871402,51.02339181
unconditional_same_eligible_months,3,real,Hlth minus MKT,matched_screen,monthly_pool,684,5.964235187,6.144910977,-54.02588917,99.14130548,40.35087719
unconditional_same_eligible_months,3,real,Manuf minus MKT,matched_screen,monthly_pool,684,-1.184818591,0.2173607259,-42.05424684,49.59645887,53.07017544
unconditional_same_eligible_months,3,real,Money minus MKT,matched_screen,monthly_pool,684,3.24322174,4.131663461,-58.50693783,80.45449772,43.42105263
unconditional_same_eligible_months,3,real,NoDur minus MKT,matched_screen,monthly_pool,684,4.777604336,5.347860211,-91.40130726,68.52380512,42.10526316
unconditional_same_eligible_months,3,real,Other minus MKT,matched_screen,monthly_pool,684,-5.830244219,-6.753305682,-67.4278907,42.58506242,72.07602339
unconditional_same_eligible_months,3,real,Shops minus MKT,matched_screen,monthly_pool,684,3.825199867,5.239956741,-44.4877467,95.330063,41.37426901
