era,n,mean,median,minimum,maximum
1947_1989,172,6.094630143877905,6.061170013893445,4.095589807701798,8.126836354862304
1990_2009,80,6.984622128308141,6.921932278714749,4.714339673582354,9.286672970835003
2010_2026,66,10.302822926150482,10.267565335362452,9.050739865452408,12.071159985945975
