spread,onset,calm_rule,calm,split,n,median,mean,minimum,maximum,negative_pct,drawdown20_pct,worst_drawdown
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,absolute,False,all,16,26.677060375090946,24.813186047441874,-32.26016825403948,78.07234859351297,18.75,37.5,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,absolute,False,pre2000,13,26.46094157188785,22.801569066300456,-32.26016825403948,78.07234859351297,23.076923076923077,46.15384615384615,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,absolute,False,2000plus,3,29.748964960538515,33.53019296572136,26.71107086798066,44.1305430686449,0.0,0.0,-14.536444961600004
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,absolute,True,all,2,21.262699650552243,21.262699650552243,18.917888204034128,23.607511097070354,0.0,0.0,-15.485605273641001
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,absolute,True,pre2000,2,21.262699650552243,21.262699650552243,18.917888204034128,23.607511097070354,0.0,0.0,-15.485605273641001
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,full_pct20,False,all,14,26.55349981291286,18.550385855525864,-32.26016825403948,45.49040705751368,21.428571428571427,42.857142857142854,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,full_pct20,False,pre2000,11,26.413028764816705,14.46498391638164,-32.26016825403948,45.49040705751368,27.27272727272727,54.54545454545454,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,full_pct20,False,2000plus,3,29.748964960538515,33.53019296572136,26.71107086798066,44.1305430686449,0.0,0.0,-14.536444961600004
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,full_pct20,True,all,4,41.420368642632646,44.9577435207031,18.917888204034128,78.07234859351297,0.0,0.0,-17.324476
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,full_pct20,True,pre2000,4,41.420368642632646,44.9577435207031,18.917888204034128,78.07234859351297,0.0,0.0,-17.324476
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct10,False,all,16,26.677060375090946,24.813186047441874,-32.26016825403948,78.07234859351297,18.75,37.5,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct10,False,pre2000,13,26.46094157188785,22.801569066300456,-32.26016825403948,78.07234859351297,23.076923076923077,46.15384615384615,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct10,False,2000plus,3,29.748964960538515,33.53019296572136,26.71107086798066,44.1305430686449,0.0,0.0,-14.536444961600004
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct10,True,all,2,21.262699650552243,21.262699650552243,18.917888204034128,23.607511097070354,0.0,0.0,-15.485605273641001
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct10,True,pre2000,2,21.262699650552243,21.262699650552243,18.917888204034128,23.607511097070354,0.0,0.0,-15.485605273641001
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct20,False,all,14,26.55349981291286,18.550385855525864,-32.26016825403948,45.49040705751368,21.428571428571427,42.857142857142854,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct20,False,pre2000,11,26.413028764816705,14.46498391638164,-32.26016825403948,45.49040705751368,27.27272727272727,54.54545454545454,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct20,False,2000plus,3,29.748964960538515,33.53019296572136,26.71107086798066,44.1305430686449,0.0,0.0,-14.536444961600004
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct20,True,all,4,41.420368642632646,44.9577435207031,18.917888204034128,78.07234859351297,0.0,0.0,-17.324476
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct20,True,pre2000,4,41.420368642632646,44.9577435207031,18.917888204034128,78.07234859351297,0.0,0.0,-17.324476
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct30,False,all,13,26.64605805393787,17.941881569651862,-32.26016825403948,45.49040705751368,23.076923076923077,38.46153846153847,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct30,False,pre2000,10,25.033874495608302,13.265388150831015,-32.26016825403948,45.49040705751368,30.0,50.0,-46.50754998419562
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct30,False,2000plus,3,29.748964960538515,33.53019296572136,26.71107086798066,44.1305430686449,0.0,0.0,-14.536444961600004
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct30,True,all,5,26.46094157188785,41.25838313094005,18.917888204034128,78.07234859351297,0.0,20.0,-23.072791694475125
BAA_AAA,FEDFUNDS_cross_0.25pp_6m,prior_pct30,True,pre2000,5,26.46094157188785,41.25838313094005,18.917888204034128,78.07234859351297,0.0,20.0,-23.072791694475125
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,absolute,False,all,15,22.49059017503616,18.26906786132566,-34.153794521352175,80.70871395646004,26.666666666666668,46.666666666666664,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,absolute,False,pre2000,12,6.901199767681653,15.085643912066892,-34.153794521352175,80.70871395646004,33.33333333333333,50.0,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,absolute,False,2000plus,3,33.869923001815174,31.00276365836071,22.49059017503616,36.647777798230806,0.0,33.33333333333333,-20.216024999999995
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,absolute,True,all,2,14.89633981865246,14.89633981865246,10.874791433270792,18.917888204034128,0.0,0.0,-15.485605273640957
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,absolute,True,pre2000,2,14.89633981865246,14.89633981865246,10.874791433270792,18.917888204034128,0.0,0.0,-15.485605273640957
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,full_pct20,False,all,13,22.49059017503616,15.94073467471391,-34.153794521352175,80.70871395646004,30.76923076923077,46.15384615384615,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,full_pct20,False,pre2000,10,6.901199767681653,11.422125979619869,-34.153794521352175,80.70871395646004,40.0,50.0,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,full_pct20,False,2000plus,3,33.869923001815174,31.00276365836071,22.49059017503616,36.647777798230806,0.0,33.33333333333333,-20.216024999999995
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,full_pct20,True,all,4,14.89633981865246,24.149786696477236,2.00308879283857,64.80337835576545,0.0,25.0,-29.370333735205946
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,full_pct20,True,pre2000,4,14.89633981865246,24.149786696477236,2.00308879283857,64.80337835576545,0.0,25.0,-29.370333735205946
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct10,False,all,15,22.49059017503616,18.26906786132566,-34.153794521352175,80.70871395646004,26.666666666666668,46.666666666666664,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct10,False,pre2000,12,6.901199767681653,15.085643912066892,-34.153794521352175,80.70871395646004,33.33333333333333,50.0,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct10,False,2000plus,3,33.869923001815174,31.00276365836071,22.49059017503616,36.647777798230806,0.0,33.33333333333333,-20.216024999999995
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct10,True,all,2,14.89633981865246,14.89633981865246,10.874791433270792,18.917888204034128,0.0,0.0,-15.485605273640957
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct10,True,pre2000,2,14.89633981865246,14.89633981865246,10.874791433270792,18.917888204034128,0.0,0.0,-15.485605273640957
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct20,False,all,14,14.755746747304165,14.945188540294243,-34.153794521352175,80.70871395646004,28.57142857142857,50.0,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct20,False,pre2000,11,6.7814962157911385,10.565849871730661,-34.153794521352175,80.70871395646004,36.36363636363637,54.54545454545454,-44.99468448019663
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct20,False,2000plus,3,33.869923001815174,31.00276365836071,22.49059017503616,36.647777798230806,0.0,33.33333333333333,-20.216024999999995
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct20,True,all,3,18.917888204034128,31.532019331023452,10.874791433270792,64.80337835576545,0.0,0.0,-15.485605273640957
BAA_AAA,FEDFUNDS_cross_0.5pp_6m,prior_pct20,True,pre2000,3,18.917888204034128,31.532019331023452,10.874791433270792,64.80337835576545,0.0,0.0,-15.485605273640957
