method,horizon,sample,n,median,mean,minimum,maximum,negative_pct,energy_median,market_median,beat_market_pct
original_full_sample,1,all_overlapping,270,4.212554701547145,8.171802433960949,-28.88788413418932,88.365062155504,34.81481481481482,9.94913248015864,4.062995753226851,65.18518518518519
original_full_sample,1,nonoverlap_chronological,32,6.309018892129339,7.679127107743918,-25.26552529820718,44.35800211532697,34.375,11.737688886943642,3.4658669631287164,65.625
original_full_sample,3,all_overlapping,270,7.057818883326938,6.139182200331383,-73.80136441445069,104.5332141427159,40.0,29.175583173672404,24.349061235646495,60.0
original_full_sample,3,nonoverlap_chronological,14,18.465239221455455,15.4108863102379,-56.03579805340376,66.15051845804402,35.714285714285715,23.498859663252357,17.91939904596137,64.28571428571429
original_full_sample,5,all_overlapping,253,10.701924463887291,8.715798545629616,-82.37326654565811,146.5347661814025,41.50197628458498,39.885273311350325,48.8263741118774,58.498023715415016
original_full_sample,5,nonoverlap_chronological,11,26.077141856066667,26.340539216647255,-58.54223434779937,118.28375935259493,27.27272727272727,72.19246710601115,46.11532524994448,72.72727272727273
expanding_prior,1,all_overlapping,250,5.349951520931507,9.177241707832875,-26.929651087477424,88.365062155504,33.6,10.388176057575304,3.718389785312104,66.4
expanding_prior,1,nonoverlap_chronological,29,7.325571321321455,8.311921012260955,-25.26552529820718,44.35800211532697,34.48275862068966,12.419773507868292,2.052231054866449,65.51724137931035
expanding_prior,3,all_overlapping,250,8.226830508076898,6.638149635179916,-73.80136441445069,87.68099273494835,38.800000000000004,28.628124620193887,23.157490789608524,61.199999999999996
expanding_prior,3,nonoverlap_chronological,14,16.65816959517964,13.232207987441177,-56.03579805340376,66.15051845804402,35.714285714285715,30.614467598278548,18.37654176274911,64.28571428571429
expanding_prior,5,all_overlapping,233,13.742801014265662,10.879182148163583,-82.37326654565811,146.5347661814025,38.62660944206009,41.256461569125015,48.35520069685275,61.37339055793991
expanding_prior,5,nonoverlap_chronological,11,26.077141856066667,20.67358272269235,-72.54442735501783,118.28375935259493,27.27272727272727,72.19246710601115,46.11532524994448,72.72727272727273
