series,month,row_based_yoy,calendar_yoy
CPIAUCSL,2026-01-01,2.8286797395498997,2.391201432150014
CPIAUCSL,2026-02-01,2.6645890876940914,2.4340041103732224
CPIAUCSL,2026-03-01,3.3202055812236786,3.2859577528651984
CPIAUCSL,2026-04-01,3.9470269087042764,3.7792458367415627
CPIAUCSL,2026-05-01,4.270032656680245,4.166614684049641
CPIAUCSL,2026-06-01,3.7265298484186804,3.463530729385411
CPIAUCSL,2026-07-01,3.5397514271936714,3.303856050706311
CPIAUCSL,2026-08-01,3.7129581058388483,3.353016322755642
CPILFESL,2026-01-01,2.9493378374616075,2.512028782828879
CPILFESL,2026-02-01,2.7335062438778035,2.4724624767640258
CPILFESL,2026-03-01,2.6730984898529986,2.602167705486824
CPILFESL,2026-04-01,2.9884245755166017,2.7433094309685213
CPILFESL,2026-05-01,2.9571135826898187,2.8229420636110225
CPILFESL,2026-06-01,2.80581107579545,2.5657850563697515
CPILFESL,2026-07-01,2.786747157096725,2.4665177892309265
CPILFESL,2026-08-01,2.7634613395318253,2.4461631786472537
PCEPILFE,2026-01-01,3.104657789335974,3.104657789335974
PCEPILFE,2026-02-01,3.0492628550881085,3.0492628550881085
PCEPILFE,2026-03-01,3.253849776876594,3.253849776876594
PCEPILFE,2026-04-01,3.3298274131089656,3.3298274131089656
PCEPILFE,2026-05-01,3.463709356864597,3.463709356864597
PCEPILFE,2026-06-01,3.343614465473621,3.343614465473621
PCEPILFE,2026-07-01,3.3441430040338282,3.3441430040338282
