window,date,HHI12,top_industry_weight,BusEq_weight,top_industry,effective_industries
1926-07..1930-12,1927-06-01,0.1240516108159845,0.2178797683391278,0.05225417615490677,Other,8.061160942790002
1960-01..1979-12,1960-01-01,0.12009714851582146,0.22542604246401826,0.0953712645730435,Manuf,8.326592365915008
1998-01..2001-12,2000-03-01,0.17415597406015085,0.34935515884364216,0.34935515884364216,BusEq,5.741979311341999
2005-01..2009-12,2006-10-01,0.11920370028106225,0.21582267303748776,0.15736174396955557,Money,8.389001328332665
2020-01..2026-07,2026-06-01,0.24402522764324586,0.4526557097468699,0.4526557097468699,BusEq,4.097936961919183
latest,2026-07-01,0.22836722064629397,0.43189630703692633,0.43189630703692633,BusEq,4.37891216248083
