channel,n_all,n_checkable,supported,strict_true,n_unverifiable,support_pct,strict_true_pct,unknown_pct,all_rows_lower_pct,all_rows_upper_pct
bravos,666,465,360,187,201,77.41935483870968,40.215053763440864,30.180180180180184,54.054054054054056,84.23423423423424
jikh,764,593,509,289,170,85.83473861720068,48.735244519392914,22.25130890052356,66.62303664921467,89.00523560209425
