date,HHI12,top_industry_weight,BusEq_weight,top_industry,effective_industries
1926-07-01,0.1265897765322423,0.20976813149813997,0.051997853256686766,Other,7.89953207434015
1926-08-01,0.12495887897861774,0.2077278546749321,0.05207971683796572,Other,8.002632611413826
1926-09-01,0.12584948279859387,0.21062261962726006,0.051775192026789346,Other,7.946000076936137
1926-10-01,0.12461143012690198,0.21103074160351337,0.051251187070159625,Other,8.024946018046807
1926-11-01,0.12516714522386962,0.21111430294810637,0.05002788163492911,Other,7.989316990584347
1926-12-01,0.12432961077714418,0.20971472407723907,0.05123149066532553,Other,8.043136254905999
1927-01-01,0.1250663315788938,0.21097796166999122,0.048846535348484856,Other,7.9957570304937295
1927-02-01,0.125931955231605,0.21380610782052256,0.048466707787288094,Other,7.940796267006829
1927-03-01,0.12554004596559065,0.21511196067168625,0.04868031680916227,Other,7.965585740458392
1927-04-01,0.12473471872423356,0.21661297829104553,0.04850049110996263,Other,8.017014109847183
1927-05-01,0.12383924541445997,0.21698364103872705,0.05126642746867343,Other,8.074984603251112
1927-06-01,0.1240516108159845,0.2178797683391278,0.05225417615490677,Other,8.061160942790002
1927-07-01,0.12295490596794614,0.20997301992316245,0.0443913010985726,Other,8.133063029308452
1927-08-01,0.12131773486184333,0.20670409641718773,0.04698171824556785,Other,8.242817928794997
1927-09-01,0.11935978159563732,0.19987708219249198,0.049083391526709506,Other,8.378031415873089
1927-10-01,0.11874743831545542,0.19895795610801018,0.04706756447963953,Other,8.421234295122021
1927-11-01,0.11852498945383348,0.19850364517437846,0.04559718855845534,Other,8.437039350165973
1927-12-01,0.11769820068859985,0.19564807567864112,0.047752707839309974,Other,8.496306605788742
1928-01-01,0.11757443466344511,0.1931849226489552,0.04747587227027628,Other,8.505250336627036
1928-02-01,0.11685245974454117,0.19169891833535135,0.04754683036375806,Other,8.557800171140304
1928-03-01,0.11619428428727877,0.19053424967099578,0.047926409400880006,Other,8.606275309787183
1928-04-01,0.11501639436393588,0.1850813883006005,0.05385468636117116,Other,8.694412701164943
1928-05-01,0.11536196688164232,0.1835031746619587,0.052952705710239946,Other,8.668368154870036
1928-06-01,0.11427084107923731,0.1807658314392264,0.05324029396134832,Other,8.751138878085122
1928-07-01,0.11243572222104953,0.17435101678469694,0.05308887213659598,Other,8.89397053041552
1928-08-01,0.1122102092306607,0.17195139221231734,0.05269000764534,Other,8.911845070570964
1928-09-01,0.11115309095250413,0.1682128221157186,0.05494990943626077,Other,8.996600917083821
1928-10-01,0.11151233487093418,0.1647545408047118,0.05387662761676579,Other,8.967617807997769
1928-11-01,0.1114603921319959,0.1611449809573306,0.054227373973449795,Other,8.971796894593368
1928-12-01,0.11067802294577408,0.16065761776473653,0.05907625358156298,Manuf,9.03521741158986
1929-01-01,0.11058098256798281,0.16519609395657775,0.0634949336778398,Manuf,9.043146269614864
1929-02-01,0.10941132765126825,0.16830811534049994,0.06751823984647669,Manuf,9.13982145603192
1929-03-01,0.11084425780773749,0.1764348281362076,0.06672380754805567,Manuf,9.021667155140578
1929-04-01,0.11085802803002631,0.17497533219108624,0.0689548581318803,Manuf,9.020546529378516
1929-05-01,0.11019562441405961,0.17486376143245122,0.06909984489305941,Manuf,9.074770484919656
1929-06-01,0.11006883624122354,0.165937216939565,0.07406526999009325,Manuf,9.085223703178166
1929-07-01,0.10978472910629283,0.18030572800957476,0.07415805349264476,Manuf,9.108734959229228
1929-08-01,0.10944055134794536,0.17690006918887488,0.07777421812533147,Manuf,9.137380867359584
1929-09-01,0.10954560794707091,0.17701259983881643,0.08078744078468887,Manuf,9.128617922164159
1929-10-01,0.1098047437373675,0.17342058290049786,0.07818961494521055,Manuf,9.107074666936192
1929-11-01,0.11350350429545057,0.1789002005265906,0.06877600318842834,Manuf,8.81030067051491
1929-12-01,0.11493168559093271,0.17605464048165842,0.06313129608324898,Manuf,8.7008207950523
