quarter,profit_share_pct
1947Q1,4.095589807701798
1947Q2,5.530394197619202
1947Q3,5.556423663281047
1947Q4,5.565073437409767
1948Q1,6.762574226129102
1948Q2,7.01075331936735
1948Q3,6.720010315334029
1948Q4,7.3878430337487435
1949Q1,7.332911567297135
1949Q2,7.055068896005542
1949Q3,7.324223402189167
1949Q4,6.241801446271066
1950Q1,5.9167889241813505
1950Q2,6.12329234149382
1950Q3,6.07393080709907
1950Q4,6.316085577208582
1951Q1,4.3654761904761905
1951Q2,5.395100119154873
1951Q3,6.041521408142066
1951Q4,5.92793490895002
1952Q1,5.696737257517648
1952Q2,5.47239841564413
1952Q3,5.375019377156983
1952Q4,5.832799386573952
1953Q1,5.68482911490283
1953Q2,5.394525576325656
1953Q3,5.223802377988144
1953Q4,4.605798378112288
1954Q1,5.297071455449013
1954Q2,5.499571377884135
1954Q3,5.686758943825512
1954Q4,6.1453366488715
1955Q1,6.6990580357467095
1955Q2,6.814903732101003
1955Q3,6.575457729864419
1955Q4,6.594950262187366
1956Q1,6.307277382852829
1956Q2,6.176094706396718
1956Q3,6.334567843773479
1956Q4,6.158583860158145
1957Q1,6.240168249325747
1957Q2,6.129548223081405
1957Q3,5.93880998560971
1957Q4,5.541586643754845
1958Q1,4.948881379133336
1958Q2,5.070575323426092
1958Q3,5.32087658307965
1958Q4,5.7541211678393775
1959Q1,6.166402131953834
1959Q2,6.527275266763991
1959Q3,6.110461417736756
1959Q4,6.266931517215286
1960Q1,6.347577066533002
1960Q2,6.039772307237377
1960Q3,5.988775742113327
1960Q4,5.8086216695020525
1961Q1,5.55688069017904
1961Q2,5.950373057088085
1961Q3,6.082295160517489
1961Q4,6.389809373557558
1962Q1,6.634029894968628
1962Q2,6.606136923143549
1962Q3,6.6814771758887535
1962Q4,7.060331874305874
1963Q1,6.9935593045850535
1963Q2,7.116610983371233
1963Q3,7.066711770146049
1963Q4,7.070242133046252
1964Q1,7.5627554783211055
1964Q2,7.502865882588695
1964Q3,7.435938563445858
1964Q4,7.3858592695738965
1965Q1,8.010560191699522
1965Q2,8.054467940579931
1965Q3,7.940634412663164
1965Q4,8.067426997487877
1966Q1,8.126836354862304
1966Q2,7.918571991140164
1966Q3,7.646302392031604
1966Q4,7.737410926650842
1967Q1,7.426703152208678
1967Q2,7.2803577927944385
1967Q3,7.235969964159943
1967Q4,7.3044192507933055
1968Q1,6.781161375739922
1968Q2,6.9621038932127775
1968Q3,6.891594141929377
1968Q4,6.827267749966428
1969Q1,6.520949083744994
1969Q2,6.230203563854037
1969Q3,5.956565134821294
1969Q4,5.4755251423931295
1970Q1,5.097697869101979
1970Q2,5.369621735566225
1970Q3,5.178355872010637
1970Q4,4.848577265645669
1971Q1,5.482770650025195
1971Q2,5.485132810560846
1971Q3,5.6793257902222605
1971Q4,5.9489354337614895
1972Q1,6.0439180925866784
1972Q2,5.99746203515721
1972Q3,6.1525718173266615
1972Q4,6.221442632424916
1973Q1,6.350681311661065
1973Q2,6.026860703861058
1973Q3,6.210255272910887
1973Q4,6.0484092206878195
1974Q1,5.746545252878704
1974Q2,5.376339166671023
1974Q3,4.664794048304324
1974Q4,4.5729799541032925
1975Q1,4.915364986176735
1975Q2,5.298292281456037
1975Q3,5.716332713385035
1975Q4,5.998418690555451
1976Q1,6.276727051607618
1976Q2,6.142041491482089
1976Q3,6.136413510742845
1976Q4,5.990622833488344
1977Q1,6.094693480193579
1977Q2,6.6389611602459055
1977Q3,7.024021547595839
1977Q4,6.589889431540427
1978Q1,6.525722275690497
1978Q2,6.849963094535033
1978Q3,6.93082783554268
1978Q4,7.0009112016436355
1979Q1,6.6533418295660995
1979Q2,6.573128690549376
1979Q3,6.34481259125832
1979Q4,6.102795164109472
1980Q1,5.448803193872628
1980Q2,5.070402294741598
1980Q3,4.9686975206924044
1980Q4,5.184526706406879
1981Q1,5.281085818284709
1981Q2,5.383313117464107
1981Q3,5.6567960157136294
1981Q4,5.5665995492587514
1982Q1,5.168338167951521
1982Q2,5.444013335046032
1982Q3,5.297265086346464
1982Q4,5.199172035416852
1983Q1,5.532109196343769
1983Q2,5.7921711120449935
1983Q3,5.8402425038199555
1983Q4,6.088271397046306
1984Q1,6.3280855382243955
1984Q2,6.248302511895822
1984Q3,6.326375711574952
1984Q4,6.434584027049444
1985Q1,6.29868600963366
1985Q2,6.320562100935369
1985Q3,6.440656947601345
1985Q4,5.97262344135835
1986Q1,5.561044691822834
1986Q2,5.2014370762143205
1986Q3,4.882186632763768
1986Q4,4.609901136351193
1987Q1,4.83179717061444
1987Q2,5.2650140652828865
1987Q3,5.569432629993929
1987Q4,5.574846934720769
1988Q1,5.601599882681577
1988Q2,5.5883234721300585
1988Q3,5.43867071373609
1988Q4,5.673960354543349
1989Q1,5.262668942979029
1989Q2,5.29888571203053
1989Q3,5.313478591802282
1989Q4,4.995861489616663
1990Q1,5.1262272674873115
1990Q2,5.283683231018378
1990Q3,4.714339673582354
1990Q4,4.838266747247546
1991Q1,5.484792660630722
1991Q2,5.4157413697256445
