spread,onset,calm_rule,date,calm,credit,real_3y,maxdrawdown_3y,post2000
BAA_AAA,original_repeated_level,prior_pct10,1937-04-01,False,1.42,-8.191858709714396,-47.20288140539696,False
BAA_AAA,original_repeated_level,prior_pct10,1947-07-01,True,0.6300000000000003,24.346456570183772,-11.084752439348478,False
BAA_AAA,original_repeated_level,prior_pct10,1951-08-01,True,0.6200000000000001,40.03595814920382,-7.042596057039329,False
BAA_AAA,original_repeated_level,prior_pct10,1954-12-01,True,0.5500000000000003,14.904864595622303,-14.937494539531148,False
BAA_AAA,original_repeated_level,prior_pct10,1956-12-01,False,0.6200000000000001,38.11895232749152,-14.937494539531148,False
BAA_AAA,original_repeated_level,prior_pct10,1959-01-01,False,0.75,33.71429854571475,-7.953680756933423,False
BAA_AAA,original_repeated_level,prior_pct10,1961-12-01,False,0.6799999999999997,21.248220508790272,-23.072791694475125,False
BAA_AAA,original_repeated_level,prior_pct10,1964-01-01,True,0.4400000000000004,20.469620209493677,-15.485605273641012,False
BAA_AAA,original_repeated_level,prior_pct10,1966-01-01,True,0.3199999999999994,17.49973973671384,-15.48560527364099,False
BAA_AAA,original_repeated_level,prior_pct10,1968-02-01,False,0.7000000000000002,0.20314193085149146,-33.55321001761824,False
BAA_AAA,original_repeated_level,prior_pct10,1971-07-01,False,1.12,-31.152591945312093,-34.11865698097507,False
BAA_AAA,original_repeated_level,prior_pct10,1973-07-01,False,0.79,-16.832969016947686,-41.196113116821266,False
BAA_AAA,original_repeated_level,prior_pct10,1975-08-01,False,1.6400000000000006,22.954265942648846,-9.30708935092104,False
BAA_AAA,original_repeated_level,prior_pct10,1977-08-01,False,0.8399999999999999,17.957243077890638,-11.990254,False
BAA_AAA,original_repeated_level,prior_pct10,1979-09-01,False,1.0999999999999996,1.240922660841104,-16.33525646907944,False
BAA_AAA,original_repeated_level,prior_pct10,1981-09-01,False,1.4300000000000015,45.62968675282792,-13.168071606352505,False
BAA_AAA,original_repeated_level,prior_pct10,1983-10-01,False,1.2100000000000009,51.36308621506282,-9.540601687127959,False
BAA_AAA,original_repeated_level,prior_pct10,1987-03-01,False,1.25,7.733884746492259,-29.852735474699998,False
BAA_AAA,original_repeated_level,prior_pct10,1989-03-01,False,0.8699999999999992,32.0103140721188,-16.92428674579324,False
BAA_AAA,original_repeated_level,prior_pct10,1994-03-01,False,0.6500000000000004,59.233226188194934,-6.199776999999996,False
BAA_AAA,original_repeated_level,prior_pct10,1999-04-01,False,0.8400000000000007,-20.04517984744686,-33.02748089802551,False
