date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
1926-07-01,0.10644581027388206,0.07351247579202358,0.15308092495723932,0.16157089777089997,0.03849082297195115,0.051997853256686766,0.06560825080493513,0.06387872173645019,0.0601773497607385,0.006690408678955137,0.008778352498098382,0.20976813149813997
1926-08-01,0.10477737673346128,0.08220498677863881,0.15377356499283434,0.15501418212070195,0.040298403174000096,0.05207971683796572,0.06428172671777616,0.0663437204539152,0.05840034994937816,0.006577563499289984,0.008520554067106141,0.2077278546749321
1926-09-01,0.10597493963452805,0.08264427028400516,0.15280094370289826,0.15581424894848386,0.04128700179854328,0.051775192026789346,0.06404914977308829,0.0633539354313026,0.0563964687795883,0.006640201913809037,0.008641028079703716,0.21062261962726006
1926-10-01,0.10670021715066869,0.08673075274035745,0.15232462939749672,0.14760766001385522,0.04325543116843284,0.051251187070159625,0.06478583279576415,0.06456558658255798,0.056558444769970795,0.006692424917923594,0.008497091789299449,0.21103074160351337
1926-11-01,0.10854000886040889,0.08179568014658614,0.15183956341547458,0.15101633885847665,0.04252114632825685,0.05002788163492911,0.06680939320893006,0.06431400525012289,0.056916371993173225,0.006824571985679346,0.008280735369855949,0.21111430294810637
1926-12-01,0.11130101027070863,0.07804604175125077,0.15352718842627444,0.14666030558328658,0.04364808849803405,0.05123149066532553,0.06634803813347434,0.06535905479757433,0.05890176541602455,0.00698821727766452,0.008274075103143244,0.20971472407723907
1927-01-01,0.10891684491536428,0.08381623805463963,0.1547771061466156,0.14692102717695935,0.0441354213911808,0.048846535348484856,0.06536235183425211,0.06363540080710682,0.057979882498364714,0.006802948483868596,0.007828281673172056,0.21097796166999122
1927-02-01,0.10800605825045838,0.08288586492720805,0.15388371595226627,0.14859964568670028,0.044159956400875354,0.048466707787288094,0.06663089735898584,0.062406528039475787,0.05638101917178562,0.007109854021793929,0.007663644582639775,0.21380610782052256
1927-03-01,0.10665178207689385,0.08597439575586342,0.15385096500216877,0.14409089787275908,0.04643917631240599,0.04868031680916227,0.06652593471854229,0.06240641488855659,0.055833439547187516,0.006900914137847213,0.0075338022069266755,0.21511196067168625
1927-04-01,0.10872910753278801,0.08717607712726377,0.15366533088364617,0.1347572590922989,0.04881064802162507,0.04850049110996263,0.06931516542152928,0.06239125905441715,0.05551132258754069,0.006960773437309745,0.007569587440572988,0.21661297829104553
1927-05-01,0.11185154463147731,0.0893087384471611,0.1527654434532847,0.12690095412125035,0.04980504847361472,0.05126642746867343,0.0659556260566467,0.06301098609585919,0.05736308114306029,0.007076629314703809,0.0077118797555413565,0.21698364103872705
1927-06-01,0.11448894940378014,0.08849313879809173,0.15224358463106083,0.1253848200493718,0.04914052336164757,0.05225417615490677,0.0645929824136041,0.06498474118718221,0.05557646920705855,0.006940638337105234,0.008020208117063134,0.2178797683391278
1927-07-01,0.11667289440251104,0.08826008245013874,0.14366669767824927,0.14290442281090004,0.04606958694097174,0.0443913010985726,0.06429463647053621,0.07049410601995824,0.0550594888579451,0.007056914388205024,0.011156848958849663,0.20997301992316245
1927-08-01,0.11379868380919299,0.09279909854773288,0.1470528122200906,0.13678554606340923,0.05016175940104819,0.04698171824556785,0.06215534985711561,0.06908082967037808,0.05622706181764637,0.007187285293212188,0.01106575865741829,0.20670409641718773
1927-09-01,0.11411372185854851,0.09684019736067222,0.1483051911840803,0.13344424962920912,0.050136733501131216,0.049083391526709506,0.06128725422718359,0.06979827970890473,0.059032923774771255,0.0070373514952487976,0.011043623541048798,0.19987708219249198
1927-10-01,0.11432549773698214,0.09778669235919113,0.14688890165794288,0.13154367617797863,0.05061302594953879,0.04706756447963953,0.06174223645229356,0.07214076011208854,0.06068282070778273,0.007107225755241289,0.011143642503310675,0.19895795610801018
1927-11-01,0.11838291882950362,0.09744360625307996,0.14278881651682843,0.1333085168663611,0.04908302782476598,0.04559718855845534,0.06311595856952229,0.07185650798824213,0.06008580098123641,0.007739054291695431,0.012094958145930873,0.19850364517437846
1927-12-01,0.11346765473102711,0.09656980543378912,0.15018115807723548,0.12886397310747794,0.0502868556867538,0.047752707839309974,0.061579713260813615,0.072267563225281,0.06344345442664343,0.007573053675957394,0.01236598485706993,0.19564807567864112
1928-01-01,0.11302689653668006,0.10186207591444382,0.15200443757018103,0.128103416575862,0.049146713009081855,0.04747587227027628,0.06044916894241027,0.07225957708044863,0.06171151846546496,0.007371279821416885,0.013404121164779072,0.1931849226489552
1928-02-01,0.11415378930210691,0.0989364201549387,0.15172470747438138,0.12630222999741011,0.04914649919232535,0.04754683036375806,0.061012691507485985,0.07677652487954136,0.061430837255845354,0.0075846411930534504,0.013685910343802047,0.19169891833535135
1928-03-01,0.1111771039653316,0.1012080768872878,0.14950217342177674,0.12753665572201472,0.050482406582742896,0.047926409400880006,0.06188203703457535,0.07726693873210418,0.06155183644170311,0.0074348305794462105,0.013497281561141612,0.19053424967099578
1928-04-01,0.10641511100858667,0.11892532595811932,0.14594678164671118,0.12399905764789897,0.052163606067373254,0.05385468636117116,0.057527650917443565,0.07542252466925647,0.06150025399333972,0.005558404970907332,0.01360520845859172,0.1850813883006005
1928-05-01,0.10167598845954884,0.11584396566548305,0.1428120213740364,0.13723569349916695,0.050085756091324395,0.052952705710239946,0.05702526496403103,0.08021373092897045,0.05889772226820674,0.005457441696826565,0.014296534680206795,0.1835031746619587
1928-06-01,0.10127005324192767,0.11970366746865244,0.1462968585792366,0.12792485776986037,0.05087307846071946,0.05324029396134832,0.058920164181086504,0.0803541651253588,0.06042035753986027,0.005861676477747638,0.014368995754975574,0.1807658314392264
1928-07-01,0.103083919816434,0.11668766817253881,0.1517787541796665,0.12356589061975533,0.048320888336185495,0.05308887213659598,0.059084847917916204,0.08146727158340349,0.06162199490461281,0.008567513880252897,0.01838136166794143,0.17435101678469694
1928-08-01,0.1039429281515626,0.11610079463268899,0.1536194241724796,0.12385177602751048,0.04886369483481923,0.05269000764534,0.057923354441878794,0.0796424494412618,0.06440868827549087,0.008699021769866614,0.018306468394783684,0.17195139221231734
1928-09-01,0.10320419318127175,0.11817590203087185,0.15516459091370532,0.11848622309134918,0.049809094843477016,0.05494990943626077,0.0568485955941676,0.07933704137079842,0.06846105759212658,0.009296808630003046,0.018053761200250054,0.1682128221157186
1928-10-01,0.10118410719391319,0.12392506647389342,0.15610305045357067,0.12121408859495687,0.050589868666980474,0.05387662761676579,0.054747270190105564,0.0800129680796297,0.06668905699670764,0.008928248148115782,0.017975106780649265,0.1647545408047118
1928-11-01,0.10063752304940819,0.12232929463930309,0.15988362116708865,0.1220194004451544,0.05243767335220236,0.054227373973449795,0.05566834087621556,0.07733031494744233,0.06964296613131829,0.008811023520106235,0.015867486940980568,0.1611449809573306
1928-12-01,0.0958703761826176,0.11319257740916198,0.16065761776473653,0.12741482253947886,0.052666855044837986,0.05907625358156298,0.05319627747552388,0.08426321278050782,0.07173545077761219,0.00824065526150357,0.015647046803998647,0.15803885437845785
1929-01-01,0.0943719889135304,0.11161302534965614,0.16519609395657775,0.12170810589449294,0.053567601169927474,0.0634949336778398,0.052404413080737816,0.08540142786539794,0.0707419803180547,0.008185588620680258,0.015651573148823997,0.1576632680042808
1929-02-01,0.09230340094449418,0.1075642743716684,0.16830811534049994,0.1070632732471368,0.062116064441313526,0.06751823984647669,0.05664016076975119,0.09204693190351988,0.0647281515937418,0.007864348415913087,0.01596462728430357,0.15788241184118088
1929-03-01,0.0894435597019775,0.10722051408125899,0.1764348281362076,0.10674625768025045,0.06194936815416697,0.06672380754805567,0.05616618733251116,0.09031722698953906,0.06318458330332175,0.00784380991493499,0.016148315984730106,0.15782154117304584
1929-04-01,0.08562960371704909,0.1060218960910655,0.17497533219108624,0.11905250728213627,0.06002769762554453,0.0689548581318803,0.05854007454646516,0.08810376139869631,0.06042124494267701,0.007778514271778373,0.015596845435624352,0.15489766436599686
1929-05-01,0.08591113704189356,0.10310294283695734,0.17486376143245122,0.11780017318002786,0.06108161659396066,0.06909984489305941,0.05951324316832057,0.09075433990058754,0.0614455253727618,0.0077527252083211705,0.015834401579804567,0.15284028879185432
1929-06-01,0.08726442577427093,0.09225801671827295,0.165937216939565,0.11790876020972116,0.05999680571010964,0.07406526999009325,0.05782409291288339,0.09939565375535687,0.059685753355400495,0.007556654900908139,0.01585678263527427,0.162250567098144
1929-07-01,0.08640710160362033,0.08436761395319409,0.18030572800957476,0.09976326213950473,0.06252842066546785,0.07415805349264476,0.05109776945451836,0.11999404533469417,0.059543696422056265,0.00759441574207725,0.02573544847144865,0.14850444471119872
1929-08-01,0.08494631167186423,0.07828558951457693,0.17690006918887488,0.09563806864562248,0.06275429532838361,0.07777421812533147,0.05567529432902024,0.12539778643776195,0.05757285200282877,0.007459306017023325,0.026733572388948884,0.15086263634976332
1929-09-01,0.08207887512203432,0.07411168843081882,0.17701259983881643,0.09809017107737467,0.06423139672784219,0.08078744078468887,0.057145478014165814,0.12594007377752736,0.05724769199520381,0.007071634965044129,0.0260244658336664,0.15025848343281722
1929-10-01,0.08338045002310984,0.0717362005434279,0.17342058290049786,0.10043900363043573,0.06360128904604932,0.07818961494521055,0.059203900873512905,0.13440976705397603,0.05720308301285661,0.006932950407348982,0.023330252022041177,0.14815290554153304
1929-11-01,0.09233319076133448,0.06361928277026652,0.1789002005265906,0.11267122526746137,0.0596396492728828,0.06877600318842834,0.06268608423227756,0.11185918978369792,0.05429424083187984,0.007101057625009722,0.020545643407063423,0.16757423233310745
1929-12-01,0.0961509975843214,0.05919067817307505,0.17605464048165842,0.12001748914771379,0.056862167327937,0.06313129608324898,0.06491476026087581,0.10786682037843115,0.05414725910029375,0.007418591472332875,0.020106165957080105,0.1741391340330316
1930-01-01,0.09518733722119462,0.061389877876831034,0.17396158237807846,0.11744030531876698,0.05968945614305943,0.069684757505546,0.06445828731803625,0.11127351610895239,0.05042113239332979,0.007398727404689924,0.01968182948342789,0.16941319084808734
1930-02-01,0.09507022130384261,0.061482627795900094,0.17467565672672616,0.10992615734696859,0.06125907158243809,0.07311352733605038,0.061784438022261495,0.11818970640364354,0.04987712812628517,0.0071728487336857214,0.020343615425042556,0.16710500119715568
1930-03-01,0.09403117362312725,0.06086285751400644,0.17458060909563938,0.10197090189387276,0.060799913301188585,0.07654709577226526,0.06461834643181115,0.12495867575593259,0.046020429684563734,0.007120906163132422,0.021052011259168866,0.1674370795052913
1930-04-01,0.08908118659093989,0.06302868029101849,0.17171980402326312,0.11209900010304706,0.06235078405172451,0.07677532593949522,0.0650637316144065,0.12803688573105065,0.041808143441481635,0.006433201245762086,0.021313534675329433,0.16228972229248162
1930-05-01,0.09164994895134015,0.05950580563836512,0.16133717958731578,0.1220509417224026,0.060693300734880544,0.08001752935669254,0.06372913649221708,0.13549885190751448,0.04380242360130779,0.006512351713821371,0.021158066326039397,0.1540444639681033
1930-06-01,0.09419130293858256,0.06237933014313255,0.15976018229244873,0.11891799487546825,0.06003154897581333,0.07762142686169433,0.06507256140046604,0.135586317119984,0.044364747671277224,0.006470969664542018,0.0202612519615932,0.1553423660949977
1930-07-01,0.09980479513848733,0.052168518074154485,0.1615988867823104,0.11171485323660736,0.0652685648977058,0.0718645454555728,0.06906304303359355,0.13916633736990267,0.04561811796446005,0.005794555735659015,0.023641561382737517,0.15429622092880896
1930-08-01,0.09865989076703435,0.05613610103180556,0.16131536385408188,0.11273391550372555,0.06613488475806288,0.07191435695317636,0.06721070784235934,0.13882660714647702,0.044913441851979485,0.005927524564385767,0.02370647839521367,0.15252072733169814
1930-09-01,0.1004408682769221,0.05451205295864158,0.15894344068914185,0.10680370226989717,0.06867570182559866,0.07332631675617066,0.06850836390154358,0.14038417665657738,0.047032483340166596,0.006348677422393406,0.023777593742360218,0.15124662216058668
1930-10-01,0.1044639370362582,0.05197600308410184,0.15499426737560953,0.10337874372915977,0.06831586009392492,0.06767375609560715,0.07382735705154522,0.1418350990150233,0.04799925567671669,0.006626521607070736,0.022235823645448446,0.15667337558953406
1930-11-01,0.10882911638609147,0.05045419192026987,0.1540261524398486,0.1032401035595675,0.06690153693836479,0.06099466665014266,0.07787484861608072,0.14285202828633056,0.04813073420024653,0.006966471660540164,0.02086843248535388,0.1588617168571631
1930-12-01,0.11231247437007337,0.0540876885223493,0.15824628650840664,0.10053576039246065,0.06865260627876248,0.06081934129190018,0.07788934706337997,0.13419046452818154,0.050865911817864255,0.006910587627769931,0.01971368524171869,0.1557758463571331
1931-01-01,0.11571570377040202,0.05797034067183831,0.15375861068728713,0.09540908852570466,0.07094929945703175,0.058574758032874624,0.08051769121866814,0.14024574989984495,0.04771539277958888,0.006957257102356014,0.018566461500551343,0.1536196463538523
1931-02-01,0.1145774922407565,0.05893786688554302,0.15089710660020836,0.09498234371884157,0.0674208681343752,0.058019930183244015,0.07953373685213937,0.13934279140898898,0.04804680357152857,0.007092704545880642,0.020715664358514418,0.16043269149997916
1931-03-01,0.11028254203161092,0.06184421382388661,0.15443215983786202,0.09050587864874424,0.06793894072314743,0.06490546801205452,0.07630381117767886,0.14488481270433717,0.049744278118162115,0.006859378982562935,0.021960596164039482,0.15033791977591374
1931-04-01,0.11551881800333591,0.06374587980484332,0.152872966407985,0.08275036871131844,0.06810036520879757,0.06370280826443465,0.0780162857754108,0.15074684157814122,0.051420792857129326,0.007454689686117333,0.021426908069240105,0.14424327563324632
1931-05-01,0.12102579881768658,0.06506530763016698,0.14370120239760167,0.08087639371557635,0.06721496844424994,0.060547816957484346,0.08286853175383496,0.15180469906192562,0.053975179136213365,0.00796540169751794,0.020021144807274825,0.1449335555804675
1931-06-01,0.12404913235178402,0.06206892151808285,0.13489249449887422,0.08140724310585826,0.06830115089960835,0.061360755061597716,0.08731804815835706,0.1553737256573477,0.06033237949094041,0.008181434008213029,0.01887532472819441,0.13783939052114183
1931-07-01,0.11908997707205828,0.05969445211087675,0.13561761585593193,0.08718428208937083,0.0680598251849564,0.060925838289331416,0.09134072012136495,0.1477930995993153,0.055082105578622816,0.009194112281930353,0.02972452066534609,0.13629345115089503
1931-08-01,0.1225601678497316,0.06262368033289906,0.12662678266500832,0.09005322971806627,0.06896727127137639,0.058360161505046755,0.0932428012439958,0.14973319506296007,0.05804730290728774,0.010117584512843064,0.029019275808919966,0.130648547121865
1931-09-01,0.12095190907398688,0.05997569174504801,0.12571309689358018,0.097660877944091,0.06933190622707414,0.06044214744818071,0.09409375102653103,0.14920395939864442,0.05962092261872173,0.010064931509849223,0.029143626747840178,0.1237971793664524
