indicator,horizon_months,event,split,eligible_months,first_signal_month,last_signal_month,unconditional_event_probability,nonalarm_event_probability,n_alarm_episodes,episode_hits,episode_false_alarms,episode_hit_rate,episode_false_alarm_fraction,false_alarm_wilson_95_low,false_alarm_wilson_95_high,lead_months_median,lead_months_min,lead_months_max,classical_fp_months,classical_tn_months,classical_fpr,classical_tp_months,classical_fn_months,monthly_sensitivity,note
baa_level_300,12,recession_present_or_onset,training_pre2000,156,1986-01,1998-12,0.1282051282051282,0.12903225806451613,1,0,1,0.0,1.0,0.20654329147389294,1.0,,,,1,135,0.007352941176470588,0,20,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_level_300,12,recession_present_or_onset,holdout_2000plus,308,2000-01,2025-08,0.2077922077922078,0.16666666666666666,7,3,4,0.42857142857142855,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.0,0.0,1.0,39,205,0.1598360655737705,23,41,0.359375,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,credit_onset_300,all,410,1986-04,2025-08,0.2,0.2,0,0,0,,,,,,,,0,328,0.0,0,82,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,credit_onset_300,training_pre2000,152,1986-04,1998-12,0.02631578947368421,0.02631578947368421,0,0,0,,,,,,,,0,148,0.0,0,4,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,credit_onset_300,holdout_2000plus,246,2000-01,2025-08,0.3170731707317073,0.3170731707317073,0,0,0,,,,,,,,0,168,0.0,0,78,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,equity_entry_loss_20,all,473,1986-04,2025-08,0.07399577167019028,0.07264957264957266,2,1,1,0.5,0.5,0.09452865480086614,0.9054713451991339,5.0,5.0,5.0,4,434,0.0091324200913242,1,34,0.02857142857142857,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,equity_entry_loss_20,training_pre2000,153,1986-04,1998-12,0.026143790849673203,0.026143790849673203,0,0,0,,,,,,,,0,149,0.0,0,4,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,equity_entry_loss_20,holdout_2000plus,308,2000-01,2025-08,0.10064935064935066,0.09900990099009901,2,1,1,0.5,0.5,0.09452865480086614,0.9054713451991339,5.0,5.0,5.0,4,273,0.01444043321299639,1,30,0.03225806451612903,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,equity_peak_drawdown_20,all,473,1986-04,2025-08,0.10570824524312897,0.1047008547008547,2,1,1,0.5,0.5,0.09452865480086614,0.9054713451991339,5.0,5.0,5.0,4,419,0.009456264775413711,1,49,0.02,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,equity_peak_drawdown_20,training_pre2000,153,1986-04,1998-12,0.0718954248366013,0.0718954248366013,0,0,0,,,,,,,,0,142,0.0,0,11,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,equity_peak_drawdown_20,holdout_2000plus,308,2000-01,2025-08,0.1266233766233766,0.1254125412541254,2,1,1,0.5,0.5,0.09452865480086614,0.9054713451991339,5.0,5.0,5.0,4,265,0.01486988847583643,1,38,0.02564102564102564,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,inflation_onset_400,all,379,1986-04,2024-09,0.16094986807387862,0.16042780748663102,2,0,2,0.0,1.0,0.34237195288961925,1.0,,,,4,314,0.012578616352201259,1,60,0.01639344262295082,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,inflation_onset_400,training_pre2000,110,1986-04,1998-12,0.15454545454545454,0.15454545454545454,0,0,0,,,,,,,,0,93,0.0,0,17,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,inflation_onset_400,holdout_2000plus,257,2000-01,2024-09,0.17120622568093385,0.17063492063492064,2,0,2,0.0,1.0,0.34237195288961925,1.0,,,,4,209,0.018779342723004695,1,43,0.022727272727272728,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,recession_onset,all,437,1986-04,2025-08,0.10983981693363844,0.10983981693363844,0,0,0,,,,,,,,0,389,0.0,0,48,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,recession_onset,training_pre2000,145,1986-04,1998-12,0.08275862068965517,0.08275862068965517,0,0,0,,,,,,,,0,133,0.0,0,12,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,recession_onset,holdout_2000plus,280,2000-01,2025-08,0.12857142857142856,0.12857142857142856,0,0,0,,,,,,,,0,244,0.0,0,36,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,recession_present_or_onset,all,473,1986-04,2025-08,0.17758985200845667,0.16880341880341881,2,2,0,1.0,0.0,0.0,0.6576280471103807,0.0,0.0,0.0,0,389,0.0,5,79,0.05952380952380952,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,recession_present_or_onset,training_pre2000,153,1986-04,1998-12,0.13071895424836602,0.13071895424836602,0,0,0,,,,,,,,0,133,0.0,0,20,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
baa_widening_100,12,recession_present_or_onset,holdout_2000plus,308,2000-01,2025-08,0.2077922077922078,0.19471947194719472,2,2,0,1.0,0.0,0.0,0.6576280471103807,0.0,0.0,0.0,0,244,0.0,5,59,0.078125,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,credit_onset_300,all,413,1986-01,2025-08,0.20581113801452786,0.19736842105263158,5,1,4,0.2,0.8,0.3755282641185388,0.9637768390302125,4.0,4.0,4.0,23,305,0.0701219512195122,10,75,0.11764705882352941,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,credit_onset_300,training_pre2000,155,1986-01,1998-12,0.04516129032258064,0.04861111111111111,2,0,2,0.0,1.0,0.34237195288961925,1.0,,,,11,137,0.07432432432432433,0,7,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,credit_onset_300,holdout_2000plus,246,2000-01,2025-08,0.3170731707317073,0.30357142857142855,3,1,2,0.3333333333333333,0.6666666666666666,0.2076549551264879,0.9385096847238394,4.0,4.0,4.0,12,156,0.07142857142857142,10,68,0.1282051282051282,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,equity_entry_loss_20,all,692,1968-01,2025-08,0.07658959537572255,0.057692307692307696,13,3,10,0.23076923076923078,0.7692307692307693,0.49743126004873084,0.918206209075343,9.0,7.0,10.0,100,539,0.1564945226917058,20,33,0.37735849056603776,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,equity_entry_loss_20,training_pre2000,372,1968-01,1998-12,0.05913978494623656,0.05067567567567568,8,1,7,0.125,0.875,0.5291051942301386,0.9775830911367038,9.0,9.0,9.0,69,281,0.19714285714285715,7,15,0.3181818181818182,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,equity_entry_loss_20,holdout_2000plus,308,2000-01,2025-08,0.10064935064935066,0.06818181818181818,5,2,3,0.4,0.6,0.23071993220883708,0.8823817688407467,8.5,7.0,10.0,31,246,0.11191335740072202,13,18,0.41935483870967744,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,equity_peak_drawdown_20,all,692,1968-01,2025-08,0.09971098265895954,0.08391608391608392,13,3,10,0.23076923076923078,0.7692307692307693,0.49743126004873084,0.918206209075343,8.0,7.0,10.0,99,524,0.15890850722311398,21,48,0.30434782608695654,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,equity_peak_drawdown_20,training_pre2000,372,1968-01,1998-12,0.08064516129032258,0.0777027027027027,8,1,7,0.125,0.875,0.5291051942301386,0.9775830911367038,8.0,8.0,8.0,69,273,0.20175438596491227,7,23,0.23333333333333334,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,equity_peak_drawdown_20,holdout_2000plus,308,2000-01,2025-08,0.1266233766233766,0.0946969696969697,5,2,3,0.4,0.6,0.23071993220883708,0.8823817688407467,8.5,7.0,10.0,30,239,0.11152416356877323,14,25,0.358974358974359,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,inflation_onset_400,all,427,1968-01,2024-09,0.20843091334894615,0.19845360824742267,4,1,3,0.25,0.75,0.3006360524426366,0.9544139373553637,2.0,2.0,2.0,27,311,0.07988165680473373,12,77,0.1348314606741573,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
